#Mon Apr 12 11:34:16 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cup_H04	cup	v	1.1128017902374268	0	0
v_puck_F09	puck	v	1.019601821899414	0	0
v_cut_F08	cut	v	1.7340028285980225	0	0
a_back_F09	back	a	0.8748009204864502	0	0
v_buck_F05	buck	v	1.6348018646240234	1	1
a_tat_H08	tat	a	1.1052019596099854	0	0
v_tut_H09	tut	v	0.9684009552001953	0	0
v_luck_H08	luck	v	1.0496020317077637	0	0
a_ban_H08	ban	a	1.574803113937378	0	0
a_lack_H07	lack	a	1.0640010833740234	0	0
v_cut_F04	cut	v	0.8100018501281738	1	0
v_buck_F09	buck	v	0.9972009658813477	0	0
v_tut_F05	tut	v	1.33040189743042	0	0
v_cut_H08	cut	v	1.0376019477844238	0	0
a_pack_F07	pack	a	1.0208020210266113	0	0
a_tat_F09	tat	a	1.070801019668579	0	0
v_cut_H04	cut	v	1.1512019634246826	1	1
a_cad_F07	cad	a	1.1788008213043213	0	0
a_cad_H05	cad	a	1.6124029159545898	0	0
v_tut_H07	tut	v	1.2344019412994385	0	0
v_mutt_F09	mutt	v	1.182002305984497	0	0
v_puck_F05	puck	v	1.210402011871338	0	0
a_lack_H08	lack	a	1.0548019409179688	0	0
a_cap_F09	cap	a	1.1556017398834229	0	1
v_luck_H06	luck	v	0.8972008228302002	0	0
v_bun_H07	bun	v	1.0548019409179688	1	0
a_lack_F04	lack	a	0.8800010681152344	0	0
a_lack_H06	lack	a	0.9160008430480957	0	0
a_mat_F07	mat	a	0.9918022155761719	0	0
v_cup_H08	cup	v	0.9460020065307617	0	0

#TotalErreurs#4TempsTotal#1min 41sec
