Wed Apr 21 15:40:48 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_barn_H09	barn	A	A	1.3560020923614502	0	0
A_tart_F07	tart	A	A	1.6824030876159668	0	0
I_deed_H08	deed	I	I	1.2914018630981445	0	0
A_tart_F09	tart	A	A	1.1360015869140625	0	0
A_card_H04	card	A	A	1.4980030059814453	0	0
A_card_H09	card	A	A	1.2680020332336426	0	0
i_kip_H05	kip	i	i	1.3020031452178955	0	0
a_pack_H04	pack	a	a	1.2952020168304443	0	0
a_cat_H06	cat	a	a	1.2216031551361084	0	0
v_cud_H05	cud	v	v	1.0836021900177002	0	0
a_cad_H06	cad	a	A	0.952800989151001	1	0
i_did_H09	did	i	i	1.0488018989562988	0	0
I_peak_F06	peak	I	I	0.9460022449493408	0	0
v_cud_F04	cud	v	v	1.4116027355194092	0	0
a_ban_H06	ban	a	a	1.6224029064178467	0	0
v_puck_H06	puck	v	v	1.1612019538879395	0	0
a_cat_H07	cat	a	a	1.348402976989746	0	0
A_tart_H05	tart	A	A	1.719202995300293	0	0
a_pack_H05	pack	a	a	1.1960020065307617	0	0
A_tart_F04	tart	A	A	2.2628040313720703	0	0
I_peak_H04	peak	I	I	1.5172028541564941	0	0
I_teak_H07	teak	I	I	1.034801959991455	0	0
a_cad_H05	cad	a	a	3.209204912185669	0	0
A_cart_H04	cart	A	A	1.6000027656555176	0	0
I_deed_F07	deed	I	I	0.9280006885528564	0	0
a_ban_H07	ban	a	a	1.5148019790649414	0	0
a_ban_H05	ban	a	a	1.250802993774414	0	0
a_pack_H09	pack	a	a	1.1844022274017334	0	0
a_cad_F07	cad	a	v	0.6300008296966553	2	0
A_card_F08	card	A	A	1.4208016395568848	0	0

#TotalErreurs#3#TempsTotal#1min 37sec
