#Sun Apr 04 17:51:10 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_pat_H09-v_putt_H04	2	1	0	0.6842019557952881	1	0
a_ban_H09-v_bun_H05	2	2	1	0.20000076293945312	0	0
a_pat_F05-v_putt_F06	2	2	1	0.21400213241577148	0	1
a_lack_H05-v_luck_H06	2	2	1	0.6040189266204834	0	0
a_back_H09-v_buck_H07	2	2	1	0.17101001739501953	0	0
a_tat_H06-a_tat_H08	1	1	1	0.14400792121887207	0	0
a_pack_H05-v_puck_H09	2	2	1	0.22600412368774414	0	0
v_mutt_H09-v_mutt_H06	1	1	1	0.5120029449462891	0	0
a_mat_H09-v_mutt_H05	2	1	0	0.39980196952819824	1	0
v_mutt_F08-a_mat_F09	2	2	1	0.32180094718933105	0	0
a_lack_F08-a_lack_F09	1	1	1	0.1830000877380371	0	0
v_tut_F05-v_tut_F08	1	1	1	0.24480104446411133	0	0
a_mat_F08-a_mat_F07	1	1	1	0.16880178451538086	0	0
v_cud_H05-v_cud_H04	1	1	1	0.3862018585205078	0	0
a_pack_F09-v_puck_F08	2	2	1	0.07520079612731934	0	0
a_cad_H05-v_cud_H04	2	1	0	0.13660216331481934	1	0
a_back_H05-v_buck_H08	2	2	1	0.04460000991821289	0	0
a_ban_F07-v_bun_F09	2	2	1	0.41840219497680664	0	0
a_pack_H09-v_puck_H08	2	2	1	0.5900020599365234	0	0
a_pack_H04-a_pack_H06	1	1	1	0.2780008316040039	0	0
v_mutt_H08-a_mat_H09	2	2	1	0.7566018104553223	0	0
v_luck_H09-v_luck_H06	1	1	1	0.27159976959228516	0	0
a_cat_F09-v_cut_F07	2	2	1	0.24180197715759277	0	0
v_putt_H09-v_putt_H08	1	1	1	0.6786019802093506	0	0
v_tut_H04-a_tat_H07	2	2	1	0.8156018257141113	0	0
a_cap_H04-a_cap_H05	1	1	1	0.6212022304534912	0	0
a_pack_F04-a_pack_F06	1	1	1	0.3244009017944336	0	0
a_cat_F08-a_cat_F05	1	1	1	0.17940115928649902	0	0
a_pack_F06-a_pack_F05	1	1	1	0.15420103073120117	0	0
v_bun_F08-a_ban_F06	2	2	1	0.72540283203125	0	0

#TotalErreurs#3#TempsTotal#1min 50sec
