#Sun Mar 28 09:45:10 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_barn_H08-A_barn_H05	1	1	1	0.7220020294189453	0	0
A_park_H06-A_park_H05	1	1	1	0.3788001537322998	0	0
v_mutt_H05-v_mutt_H04	1	2	0	3.64920711517334	1	0
v_puck_H07-v_puck_H08	1	1	1	0.14480018615722656	0	2
v_mutt_F04-A_mart_F07	2	2	1	0.8000009059906006	0	0
v_cup_H04-A_carp_H05	2	2	1	0.34759998321533203	0	0
A_bark_F09-v_buck_F07	2	2	1	0.22280001640319824	0	0
A_bark_F06-A_bark_F04	1	1	1	0.2539997100830078	0	0
v_bun_H06-A_barn_H07	2	2	1	0.09800076484680176	0	1
v_cup_H07-v_cup_H04	1	1	1	1.283601999282837	0	1
A_lark_H06-A_lark_H05	1	2	0	1.0496020317077637	1	1
A_cart_H06-A_cart_H09	1	1	1	1.377202033996582	0	1
A_park_H08-A_park_H09	1	1	1	0.19159984588623047	0	0
v_tut_F04-A_tart_F07	2	2	1	0.2852010726928711	0	0
A_tart_F07-v_tut_F04	2	2	1	0.5660009384155273	0	0
v_cut_H09-v_cut_H04	1	2	0	0.31640028953552246	1	0
A_card_H04-A_card_H08	1	1	1	0.03559994697570801	0	0
v_putt_F05-v_putt_F06	1	1	1	0.12920093536376953	0	0
A_barn_H04-A_barn_H07	1	1	1	0.17600083351135254	0	1
v_bun_H05-v_bun_H08	1	1	1	0.7844009399414062	0	0
A_tart_F06-A_tart_F08	1	1	1	0.2540011405944824	0	0
v_buck_F08-A_bark_F07	2	2	1	0.051199913024902344	0	1
A_lark_F09-v_luck_F06	2	1	0	0.06679987907409668	1	0
v_cup_F05-v_cup_F08	1	2	0	0.2852010726928711	1	0
v_putt_F08-A_part_F04	2	2	1	0.12920022010803223	0	0
v_cut_F08-A_cart_F05	2	2	1	0.3788011074066162	0	0
A_mart_F07-v_mutt_F09	2	1	0	0.009999752044677734	1	0
A_card_H07-v_cud_H09	2	2	1	0.3320009708404541	0	0
v_luck_F05-v_luck_F04	1	1	1	0.597200870513916	0	0
A_park_H09-v_puck_H08	2	2	1	0.17600083351135254	0	0

#TotalErreurs#6#TempsTotal#2min 35sec
