#Wed Apr 21 15:29:14 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_tut_H09-v_tut_H07	1	1	1	0.7532012462615967	0	0
A_bark_H09-v_buck_H07	2	2	1	0.5660009384155273	0	1
v_tut_F08-A_tart_F05	2	2	1	0.30080103874206543	0	0
v_luck_H06-A_lark_H04	2	1	0	0.17600107192993164	1	1
A_mart_F07-v_mutt_F09	2	1	0	0.2539997100830078	1	0
v_puck_F07-v_puck_F08	1	1	1	0.8790018558502197	0	0
A_lark_H08-A_lark_H09	1	1	1	1.018402099609375	0	0
v_mutt_H09-v_mutt_H06	1	1	1	0.4724009037017822	0	1
v_cud_H09-v_cud_H06	1	1	1	0.06680011749267578	0	1
v_luck_F08-A_lark_F09	2	2	1	0.14479994773864746	0	0
v_bun_F05-v_bun_F08	1	1	1	0.48799991607666016	0	0
v_cup_F09-v_cup_F06	1	1	1	0.3788008689880371	0	0
A_bark_H08-A_bark_H06	1	1	1	0.48800110816955566	0	0
A_tart_H05-v_tut_H04	2	2	1	1.2368028163909912	0	1
v_luck_H04-A_lark_H05	2	2	1	0.37980008125305176	0	1
v_mutt_H05-v_mutt_H04	1	1	1	0.19160127639770508	0	1
v_mutt_F06-A_mart_F05	2	2	1	0.22280001640319824	0	0
A_bark_F07-v_buck_F04	2	2	1	0.31640028953552246	0	1
v_puck_H04-A_park_H07	2	2	1	0.17599987983703613	0	0
A_part_F05-v_putt_F06	2	2	1	0.4256000518798828	0	0
A_bark_F06-A_bark_F04	1	1	1	0.051199913024902344	0	0
A_barn_H08-A_barn_H05	1	1	1	1.1276018619537354	0	0
v_tut_H05-v_tut_H08	1	1	1	0.332000732421875	0	1
A_carp_H09-v_cup_H08	2	1	0	1.1588020324707031	1	0
A_carp_F09-v_cup_F08	2	2	1	0.5036008358001709	0	0
A_card_H07-v_cud_H09	2	2	1	0.6284010410308838	0	0
A_lark_F08-A_lark_F09	1	1	1	3.155604839324951	0	1
A_mart_F04-A_mart_F05	1	1	1	0.5192010402679443	0	0
v_putt_F05-v_putt_F06	1	1	1	0.39440083503723145	0	0
A_tart_F07-v_tut_F04	2	2	1	0.2852010726928711	0	0

#TotalErreurs#3#TempsTotal#2min 25sec
