#Sat Feb 06 22:07:00 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cud_F09	cud	v	3.1587882041931152	0	1
v_cut_H09	cut	v	2.3816299438476562	0	0
v_bun_F06	bun	v	1.692793846130371	0	3
v_puck_F04	puck	v	1.636418104171753	1	0
v_puck_H06	puck	v	0.5414721965789795	1	0
v_puck_F05	puck	v	0.971998929977417	1	0
a_cad_F08	cad	a	1.08799409866333	1	0
a_tat_F05	tat	a	1.7628271579742432	0	0
v_bun_F08	bun	v	1.8206369876861572	0	0
v_cut_H04	cut	v	1.7842330932617187	0	0
a_tat_F04	tat	a	1.4558861255645752	0	1
v_cud_H09	cud	v	1.706054925918579	0	0
v_luck_H09	luck	v	1.1625726222991943	1	0
a_lack_F09	lack	a	1.4928839206695557	0	0
v_cut_F08	cut	v	1.2486011981964111	0	0
a_pat_F08	pat	a	1.8808388710021973	0	10
a_back_F04	back	a	1.5481691360473633	0	1
a_lack_H09	lack	a	2.2305150032043457	0	4
a_pack_F06	pack	a	1.9654290676116943	0	0
a_mat_H08	mat	a	2.063328981399536	1	1
v_cup_H05	cup	v	2.708454132080078	0	0
a_pat_H05	pat	a	1.4603288173675537	0	2
a_pat_F05	pat	a	1.4152100086212158	0	1
v_puck_F08	puck	v	1.9863429069519043	0	1
a_cat_H04	cat	a	1.5341157913208008	0	0
a_cat_H08	cat	a	2.783561944961548	2	3
a_ban_F04	ban	a	1.999732255935669	0	0
v_cud_F05	cud	v	2.474355936050415	0	0
a_pack_H09	pack	a	1.8592917919158936	0	0
a_tat_H07	tat	a	2.301769971847534	0	0

#TotalErreurs#8TempsTotal#3min 14sec
