Sat Feb 06 22:11:27 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_carp_F09	carp	A	v	0.563629150390625	5	2
A_lark_H06	lark	A	A	3.434504985809326	0	0
A_carp_H06	carp	A	A	3.7749228477478027	0	0
v_buck_F08	buck	v	v	2.0879180431365967	0	0
I_cheap_F08	cheap	I	I	1.8625168800354004	0	0
a_cap_F05	cap	a	A	1.8021466732025146	1	0
A_mart_F08	mart	A	A	2.149167060852051	0	1
i_chip_F04	chip	i	i	2.739877223968506	0	0
i_bin_F08	bin	i	v	1.6362988948822021	1	3
i_min_H08	min	i	I	0.5050911903381348	1	0
a_cap_H06	cap	a	a	3.3864219188690186	0	1
a_pat_F05	pat	a	a	3.6232869625091553	0	0
i_min_F04	min	i	i	3.371065139770508	0	0
a_mat_F08	mat	a	a	2.314095973968506	0	0
a_lack_H08	lack	a	a	1.8864099979400635	0	1
A_carp_F04	carp	A	A	3.39552903175354	0	0
i_lick_F09	lick	i	i	1.723334789276123	0	1
i_min_F09	min	i	i	2.131319046020508	0	0
I_cheap_H09	cheap	I	i	1.1601099967956543	1	0
i_min_H06	min	i	i	1.7254889011383057	0	0
A_bark_F09	bark	A	A	1.9027230739593506	0	1
A_carp_H04	carp	A	v	1.1903669834136963	1	0
I_cheap_F07	cheap	I	i	1.1421899795532227	1	0
A_lark_H08	lark	A	A	2.3115367889404297	0	0
a_back_H06	back	a	a	2.074679136276245	0	0
v_putt_H07	putt	v	v	2.440039873123169	0	0
A_mart_H05	mart	A	a	0.5967898368835449	2	2
a_cap_F07	cap	a	A	0.5708801746368408	1	0
a_mat_H09	mat	a	a	3.0696640014648437	0	0
v_cup_H07	cup	v	v	1.8548448085784912	0	0

#TotalErreurs#14#TempsTotal#3min 23sec
