Sun May 16 12:37:49 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_cap_F04	cap	a	a	2.8725409507751465	0	1
I_mean_H08	mean	I	I	2.1738479137420654	0	0
A_lark_H07	lark	A	A	2.568480968475342	0	0
i_bik_H09	bik	i	i	1.979919195175171	0	0
v_putt_H07	putt	v	v	1.2191150188446045	0	1
I_beak_H09	beak	I	I	1.18479585647583	0	1
v_buck_F04	buck	v	v	2.490658760070801	0	0
A_part_H05	part	A	A	3.8437633514404297	0	1
a_mat_F06	mat	a	a	2.259787082672119	0	0
A_carp_H08	carp	A	v	1.7735369205474854	1	0
A_carp_H04	carp	A	A	4.0990378856658936	0	0
I_bean_H09	bean	I	I	2.0406899452209473	0	0
a_mat_H07	mat	a	a	2.9095988273620605	0	0
i_lick_H05	lick	i	i	2.9333839416503906	0	0
i_lick_F06	lick	i	i	1.9480071067810059	0	1
v_putt_F07	putt	v	v	2.15402889251709	0	0
i_bin_F09	bin	i	i	2.6725940704345703	0	0
v_luck_F06	luck	v	v	2.2892489433288574	0	0
v_luck_F09	luck	v	v	4.146036863327026	0	3
v_cup_H08	cup	v	v	1.9375369548797607	0	0
A_bark_F07	bark	A	A	4.6370909214019775	0	0
a_pat_H04	pat	a	a	2.7405121326446533	0	1
I_bean_H04	bean	I	I	10.648987293243408	0	2
i_lick_H08	lick	i	i	1.894930124282837	0	0
v_buck_F09	buck	v	v	3.2030720710754395	0	0
I_bean_F09	bean	I	I	1.557307243347168	0	0
a_lack_F06	lack	a	A	0.5078520774841309	1	0
i_bin_F04	bin	i	i	1.6822361946105957	0	0
I_bean_H08	bean	I	I	1.7942421436309814	0	0
A_bark_F08	bark	A	A	2.2575430870056152	0	0

#TotalErreurs#2#TempsTotal#2min 55sec
