#Sat Mar 06 10:46:31 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_puck_H06	puck	v	1.7046642303466797	0	0
a_cad_F05	cad	a	1.6388301849365234	0	0
v_bun_H09	bun	v	1.0689010620117188	0	0
a_cad_H08	cad	a	1.0046720504760742	0	0
a_cat_H07	cat	a	0.9361081123352051	0	0
a_cap_F06	cap	a	0.9129519462585449	0	0
v_buck_F06	buck	v	1.1771240234375	0	0
a_cad_H07	cad	a	1.1958849430084229	0	0
a_ban_F05	ban	a	1.2686078548431396	0	0
a_lack_H07	lack	a	1.1026849746704102	0	0
a_pack_H06	pack	a	1.0102992057800293	0	0
a_tat_H06	tat	a	1.085258960723877	0	0
a_cad_F04	cad	a	0.9652180671691895	0	0
a_pat_F09	pat	a	4.258243083953857	0	0
a_mat_H08	mat	a	0.9986691474914551	0	0
v_tut_F05	tut	v	1.5270657539367676	0	1
a_tat_H08	tat	a	1.0350332260131836	0	0
v_puck_F07	puck	v	1.2763431072235107	0	0
a_cad_H04	cad	a	1.0233709812164307	0	0
a_mat_F09	mat	a	0.9251251220703125	0	0
a_lack_H05	lack	a	1.0417048931121826	0	0
v_bun_H07	bun	v	1.3165638446807861	0	0
a_pat_F08	pat	a	1.2302672863006592	0	0
a_cat_F07	cat	a	0.8474788665771484	0	0
a_cap_H04	cap	a	1.1045429706573486	0	0
a_cap_F08	cap	a	0.9020259380340576	0	0
a_pack_H04	pack	a	0.90045166015625	0	0
a_lack_F09	lack	a	0.90496826171875	0	0
a_pack_H05	pack	a	1.0303637981414795	0	0
v_puck_H09	puck	v	1.276094913482666	0	0

#TotalErreurs#0TempsTotal#1min 36sec
