#Sat Mar 06 12:52:48 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_puck_H06	puck	v	6.160017728805542	0	0
v_putt_H07	putt	v	0.9542450904846191	0	0
A_carp_H05	carp	A	1.2266969680786133	0	0
A_barn_F06	barn	A	1.3194561004638672	0	0
A_tart_H05	tart	A	0.898036003112793	0	0
A_tart_H07	tart	A	0.9036319255828857	0	0
A_lark_F05	lark	A	0.9071040153503418	0	0
A_park_H09	park	A	0.8517189025878906	0	0
v_cup_F09	cup	v	1.1438391208648682	0	0
v_mutt_F04	mutt	v	1.5006070137023926	0	0
A_lark_H04	lark	A	0.7518301010131836	1	0
v_cut_F08	cut	v	1.1706769466400146	0	0
v_tut_H05	tut	v	1.089176893234253	0	0
A_card_H04	card	A	1.3732118606567383	0	0
A_part_H06	part	A	0.9250979423522949	0	0
A_lark_H07	lark	A	0.9861729145050049	0	0
v_puck_F09	puck	v	1.1214179992675781	0	0
A_mart_H05	mart	A	0.491865873336792	1	0
v_putt_F08	putt	v	1.2035558223724365	0	0
A_lark_F04	lark	A	1.010883092880249	0	0
A_part_H07	part	A	1.2920749187469482	0	0
A_carp_F09	carp	A	0.9676883220672607	0	0
v_cut_F05	cut	v	1.345982313156128	0	0
v_mutt_H05	mutt	v	1.4530160427093506	0	0
A_carp_H08	carp	A	1.0835988521575928	0	0
A_mart_H08	mart	A	1.6640598773956299	0	0
v_mutt_H08	mutt	v	2.1068642139434814	0	0
v_luck_H06	luck	v	3.6101672649383545	0	0
v_buck_H09	buck	v	2.3297040462493896	0	0
v_puck_H07	puck	v	1.797752857208252	0	0

#TotalErreurs#2TempsTotal#1min 38sec
