#Mon Feb 15 23:23:57 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_tart_H07-v_tut_H04	2	2	1	8.327112913131714	0	0
A_card_H08-A_card_H06	1	1	1	2.465285062789917	0	0
A_mart_H08-A_mart_H07	1	1	1	2.7427072525024414	0	0
A_park_H07-v_puck_H04	2	2	1	1.9788401126861572	0	0
A_bark_H08-A_bark_H06	1	1	1	1.5385520458221436	0	0
A_cart_H05-v_cut_H04	2	2	1	2.373011827468872	0	0
v_cup_F05-v_cup_F08	1	1	1	2.4916043281555176	0	0
A_carp_H09-v_cup_H08	2	2	1	2.90457820892334	0	0
A_park_H08-A_park_H09	1	1	1	2.1123979091644287	0	0
A_cart_F04-A_cart_F05	1	1	1	5.242897033691406	0	0
v_bun_F08-A_barn_F06	2	2	1	5.545194149017334	0	0
v_tut_F09-v_tut_F07	1	1	1	6.032872200012207	0	0
v_buck_F05-v_buck_F09	1	1	1	2.1997220516204834	0	0
v_cud_F09-v_cud_F06	1	1	1	4.180552244186401	0	0
v_puck_H08-A_park_H07	2	2	1	2.875709056854248	0	0
v_luck_F09-v_luck_F06	1	1	1	2.540113925933838	0	0
A_lark_F06-A_lark_F05	1	1	1	34.091784954071045	0	0
v_cut_F07-v_cut_F04	1	1	1	1.0979411602020264	0	0
v_tut_H09-v_tut_H07	1	1	1	2.17337703704834	0	0
A_park_F08-A_park_F09	1	1	1	4.046082973480225	0	0
A_bark_F04-A_bark_F09	1	1	1	2.8486440181732178	0	0
v_putt_H09-v_putt_H08	1	1	1	2.3037712574005127	0	0
v_putt_H05-v_putt_H06	1	1	1	3.3686909675598145	0	0
v_cut_F06-A_cart_F09	2	2	1	2.3243682384490967	0	0
v_cup_H06-A_carp_H05	2	2	1	2.679297924041748	0	0
A_card_F07-v_cud_F09	2	2	1	2.4359421730041504	0	0
A_park_H05-v_puck_H09	2	2	1	4.307446002960205	0	0
A_cart_F07-v_cut_F05	2	2	1	4.795661926269531	0	0
A_bark_H06-A_bark_H04	1	1	1	4.824639797210693	0	0
A_carp_H05-v_cup_H07	2	2	1	2.6039209365844727	0	0

#TotalErreurs#0#TempsTotal#3min 39sec
