#00#Sat Feb 20 00:19:23 2021#ListeOddity_2.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
v_tut_H08-a_tat_H09-a_tat_H04	v	1	1	1	19.343785762786865	0	0
i_pick_H07-I_peak_H09-I_peak_H04	i	1	1	1	6.998453140258789	0	0
A_barn_F09-v_bun_F04-v_bun_F05	A	1	1	1	3.620140790939331	0	0
I_seek_H09-i_sick_H04-I_seek_H07	i	2	2	1	3.8300740718841553	0	0
I_deed_H04-I_deed_H05-i_did_H09	i	3	3	1	2.8872947692871094	0	0
A_tart_F07-v_tut_F05-v_tut_F09	A	1	1	1	4.681042909622192	0	0
i_sick_F04-I_seek_F05-i_sick_F09	I	2	2	1	4.48012113571167	0	0
v_cud_H05-v_cud_H06-a_cad_H07	a	3	3	1	5.688241004943848	0	0
A_cart_F09-A_cart_F04-v_cut_F09	v	3	3	1	4.534018039703369	0	0
v_cut_F05-A_cart_F04-A_cart_F07	v	1	1	1	5.193664073944092	0	0
v_puck_F05-a_lack_F04-a_lack_F08	v	1	1	1	4.001227855682373	0	0
a_cat_H05-v_cut_H08-v_cut_H07	a	1	1	1	4.932942152023315	0	0
I_keep_F05-I_keep_F08-i_kip_F04	i	3	3	1	3.951349973678589	0	0
i_pick_F05-i_pick_F08-I_peak_F04	I	3	3	1	4.570554971694946	0	0
I_peak_H04-i_pick_H07-i_pick_H05	I	1	1	1	3.8430631160736084	0	0
v_tut_H05-v_tut_H07-A_tart_H08	A	3	3	1	5.070319890975952	0	0
v_puck_H05-a_lack_H06-v_puck_H07	a	2	2	1	3.5101158618927	0	0
v_cut_F06-v_cut_F09-a_cat_F08	a	3	3	1	3.7575669288635254	0	0
a_cad_H07-v_cud_H09-v_cud_H05	a	1	1	1	3.8497180938720703	0	0
A_barn_H07-v_bun_H06-A_barn_H05	v	2	2	1	6.403442144393921	0	0
v_bun_F04-a_ban_F05-a_ban_F06	v	1	1	1	4.77984619140625	0	0
a_cat_F08-a_cat_F07-v_cut_F06	v	3	3	1	3.226818084716797	0	0
I_deed_H07-i_did_H04-I_deed_H08	i	2	2	1	3.0990350246429443	0	0
i_tick_F08-i_tick_F05-I_teak_F04	I	3	3	1	4.3307108879089355	0	0
v_bun_H05-v_bun_H07-a_ban_H08	a	3	3	1	3.2337310314178467	0	0
A_cart_F06-v_cut_F04-A_cart_F09	v	2	2	1	7.585133075714111	0	0
i_did_H09-I_deed_H06-i_did_H08	I	2	2	1	5.5769429206848145	0	0
a_cat_F05-v_cut_F08-v_cut_F07	a	1	1	1	11.12654995918274	0	0
I_seek_F09-i_sick_F08-i_sick_F06	I	1	1	1	4.1140148639678955	0	0
I_teak_F07-i_tick_F05-i_tick_F08	I	1	1	1	15.000658988952637	0	0

#TotalErreurs#0TempsTotal#5min 34sec
#00#Sat Feb 20 00:25:19 2021#ListeOddity_2.txt
