Tue Mar 09 22:45:30 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_cap_H06	cap	a	v	1.4320790751371533	1	1
a_cap_F06	cap	a	a	3.0589180913520977	0	0
I_mean_H08	mean	I	I	2.8790720540564507	0	0
A_part_H06	part	A	A	1.6845258816611022	0	0
i_bik_H07	bik	i	i	1.543795072590001	0	0
I_bean_H06	bean	I	I	1.402953099925071	0	0
A_mart_H08	mart	A	A	1.7294809949817136	0	0
i_bin_H07	bin	i	i	1.5500969362910837	0	0
I_leak_H08	leak	I	I	1.4376961160451174	0	0
i_chip_F05	chip	i	i	1.839924092986621	0	0
a_cap_H05	cap	a	a	1.899877062998712	0	0
a_cap_H08	cap	a	a	3.2354490355355665	0	0
a_lack_H06	lack	a	a	1.2203020228771493	0	0
I_bean_F07	bean	I	I	1.663768969126977	0	0
i_chip_F08	chip	i	i	1.1994670941494405	0	0
v_luck_F09	luck	v	v	1.3666490589966998	0	0
v_mutt_H04	mutt	v	v	1.0552518899785355	0	0
I_mean_H05	mean	I	I	3.578911946620792	0	0
v_luck_H08	luck	v	v	1.4381370159098879	0	0
i_bin_H05	bin	i	i	1.481534921680577	0	0
I_leak_F04	leak	I	I	1.3511839604470879	0	0
A_mart_F06	mart	A	A	1.3241160507313907	0	0
a_lack_H07	lack	a	a	1.6292439509416	0	0
i_min_F08	min	i	i	1.4781590834027156	0	0
v_buck_F06	buck	v	v	1.7433311097556725	0	0
v_putt_H06	putt	v	v	1.0415510623715818	0	0
i_bin_H09	bin	i	i	1.590262889279984	0	0
i_min_F04	min	i	i	1.3510589270154014	0	0
a_mat_F05	mat	a	a	1.62962007697206	0	0
v_cup_H05	cup	v	v	1.375111083034426	0	0

#TotalErreurs#1#TempsTotal#1min 50sec
