Thu Feb 11 15:30:03 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_tick_H04	tick	i	I	1.1858539581298828	1	0
i_pick_F05	pick	i	i	3.3009068965911865	0	0
i_did_F05	did	i	I	0.9354941844940186	1	0
a_pack_H06	pack	a	a	1.9197361469268799	0	0
A_barn_F06	barn	A	A	2.70479416847229	0	0
v_cud_H05	cud	v	v	1.3539891242980957	0	0
I_peak_F07	peak	I	i	0.9200232028961182	1	0
I_peak_F06	peak	I	I	2.261992931365967	0	0
I_keep_H05	keep	I	I	1.7186691761016846	0	0
A_barn_H04	barn	A	A	2.311828374862671	0	0
I_seek_F04	seek	I	I	2.7731330394744873	0	0
I_peak_F04	peak	I	I	1.778698205947876	0	0
I_peak_H09	peak	I	i	1.0509347915649414	1	0
a_pack_H05	pack	a	a	2.076403856277466	0	1
v_cud_H04	cud	v	v	1.4997260570526123	0	0
A_barn_F07	barn	A	A	3.5487301349639893	0	0
i_pick_F06	pick	i	i	1.7222950458526611	0	0
A_tart_H07	tart	A	A	1.8151030540466309	0	0
I_keep_F05	keep	I	I	1.5675089359283447	0	0
a_ban_H05	ban	a	A	0.839224100112915	1	0
i_pick_H07	pick	i	I	1.3232760429382324	1	0
I_deed_F04	deed	I	I	1.5039050579071045	0	0
v_puck_H09	puck	v	A	1.067430019378662	1	1
a_tat_F04	tat	a	a	1.697054147720337	0	0
a_ban_F08	ban	a	A	0.9896180629730225	1	0
i_tick_F04	tick	i	i	2.1912190914154053	0	0
i_tick_H08	tick	i	I	1.0676348209381104	1	0
a_cat_F09	cat	a	a	1.5206248760223389	0	0
i_did_F09	did	i	I	1.0679969787597656	1	0
v_tut_H05	tut	v	a	0.8888800144195557	1	1

#TotalErreurs#11#TempsTotal#2min 26sec
