#Tue Mar 09 09:38:22 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_peak_F04-I_peak_F07	1	2	0	2.5857930183410645	1	0
i_chip_F04-I_chip_F05	2	1	0	0.03284406661987305	1	0
i_chip_H07-i_cheap_H04	1	2	0	6.676783084869385	1	0
I_seek_H09-i_sick_H05	2	1	0	0.1822371482849121	1	0
i_kip_F09-i_kip_F06	1	1	1	0.5180447101593018	0	0
i_did_F09-i_did_F04	1	2	0	0.5317838191986084	1	0
I_beak_H07-i_bik_H04	2	2	1	0.534905195236206	0	0
I_teak_H05-i_tick_H04	2	2	1	1.0130867958068848	0	0
i_kip_H07-i_kip_H08	1	1	1	0.5362823009490967	0	0
i_min_F08-I_mean_F07	2	2	1	1.8285608291625977	0	0
i_lick_H04-I_leak_H07	2	2	1	1.6972332000732422	0	0
i_pick_H06-I_peak_H07	2	2	1	0.3672471046447754	0	0
i_bin_F04-I_bean_F05	2	2	1	1.045924186706543	0	0
i_chip_F05-i_cheap_F08	1	2	0	0.5303399562835693	1	0
i_did_F05-i_did_F07	1	2	0	0.06225395202636719	1	0
i_chip_H05-i_cheap_H08	1	2	0	0.04311704635620117	1	0
i_lick_F06-I_leak_F08	2	2	1	0.563751220703125	0	0
I_leak_H06-I_leak_H05	1	1	1	0.5404729843139648	0	0
i_sick_F09-i_sick_F06	1	1	1	1.5500578880310059	0	0
i_kip_H05-i_kip_H04	1	1	1	0.4552462100982666	0	0
i_did_F06-I_deed_F09	2	2	1	0.08769464492797852	0	0
I_deed_H06-I_deed_H09	1	1	1	0.19382476806640625	0	0
I_cheap_H09-i_cheap_H08	2	1	0	0.028921842575073242	1	0
i_bin_H06-I_bean_H04	2	1	0	0.018644094467163086	1	0
i_min_H08-I_mean_H07	2	2	1	0.791600227355957	0	0
I_mean_H09-i_min_H07	2	1	0	2.022686243057251	1	0
I_keep_H09-i_kip_H06	2	2	1	0.6128361225128174	0	0
i_pick_F09-i_pick_F07	1	1	1	1.4590389728546143	0	0
I_cheap_F09-i_cheap_F08	2	2	1	1.0380730628967285	0	0
i_pick_H07-i_pick_H06	1	2	0	0.565777063369751	1	0

#TotalErreurs#12#TempsTotal#3min 14sec
