#Tue May 04 10:00:54 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_pick_F06-I_peak_F07	2	2	1	0.25929808616638184	0	0
i_pick_H05-i_pick_H08	1	1	1	1.800201177597046	0	0
i_chip_F04-I_chip_F05	2	1	0	1.9857909679412842	1	0
i_did_F06-I_deed_F09	2	2	1	0.26804590225219727	0	0
I_teak_H05-i_tick_H04	2	1	0	1.2187609672546387	1	0
i_lick_H08-I_leak_H07	2	2	1	0.09219098091125488	0	0
I_teak_F04-I_teak_F08	1	1	1	0.18308401107788086	0	0
i_sick_H08-I_seek_H09	2	2	1	0.07772183418273926	0	0
i_pick_F07-i_pick_F06	1	2	0	0.07012104988098145	1	0
i_sick_F06-I_seek_F05	2	2	1	0.08471512794494629	0	0
I_seek_F09-i_sick_F05	2	2	1	0.08989500999450684	0	0
i_tick_H08-I_teak_H05	2	1	0	0.0817561149597168	1	0
I_deed_F06-I_deed_F09	1	1	1	0.41356396675109863	0	0
i_pick_H08-I_peak_H06	2	2	1	0.2524712085723877	0	0
I_bean_H08-I_bean_H09	1	1	1	0.03125	0	0
I_mean_F04-I_mean_F09	1	1	1	0.3837611675262451	0	0
I_leak_F07-i_lick_F04	2	2	1	0.23541617393493652	0	0
I_leak_F05-i_lick_F09	2	2	1	0.6042029857635498	0	0
I_bean_F09-i_bin_F06	2	2	1	0.1678619384765625	0	0
I_seek_H05-i_sick_H07	2	2	1	0.12915492057800293	0	0
i_tick_F04-I_teak_F07	2	2	1	0.11577200889587402	0	0
I_deed_H07-i_did_H05	2	2	1	0.12359809875488281	0	0
i_min_F06-I_mean_F08	2	2	1	0.210435152053833	0	0
i_tick_H07-i_tick_H06	1	1	1	0.27720093727111816	0	0
I_beak_H09-i_bik_H04	2	1	0	0.7062196731567383	1	0
I_seek_H07-i_sick_H09	2	2	1	0.30460500717163086	0	0
i_sick_F08-I_seek_F09	2	2	1	0.10160398483276367	0	0
i_min_F09-i_min_F04	1	1	1	0.43445825576782227	0	0
I_mean_H09-i_min_H07	2	1	0	0.44922399520874023	1	0
I_teak_F06-I_teak_F08	1	1	1	0.9568572044372559	0	0

#TotalErreurs#6#TempsTotal#4min 54sec
