#Wed Feb 24 11:46:02 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_tat_F04	tat	a	2.7319188117980957	0	1
v_bun_H05	bun	v	1.984908103942871	0	0
a_ban_H06	ban	a	1.741002082824707	0	0
v_mutt_H04	mutt	v	1.8131887912750244	1	0
v_buck_F09	buck	v	2.8871171474456787	0	0
a_mat_F08	mat	a	1.7863328456878662	0	0
v_mutt_H05	mutt	v	1.4158298969268799	1	0
a_cap_F04	cap	a	0.45359325408935547	1	0
a_ban_F09	ban	a	1.3082311153411865	0	0
v_cud_H04	cud	v	1.381422996520996	0	0
a_pat_F09	pat	a	1.201098918914795	0	0
v_cup_H07	cup	v	0.90765380859375	1	0
a_back_H06	back	a	1.2652127742767334	0	0
v_bun_F04	bun	v	1.8110198974609375	0	0
v_cup_F06	cup	v	1.796363115310669	0	0
v_cud_F05	cud	v	1.1409430503845215	0	0
v_buck_H09	buck	v	1.5934803485870361	0	0
v_bun_F07	bun	v	1.5889689922332764	0	0
v_cut_H08	cut	v	1.5453848838806152	0	0
a_lack_H08	lack	a	1.8153789043426514	0	0
a_cat_H09	cat	a	1.3789048194885254	0	0
a_cat_H06	cat	a	1.291337013244629	0	0
v_putt_F07	putt	v	1.7270779609680176	0	0
v_cud_H06	cud	v	1.2105472087860107	0	0
a_cad_H09	cad	a	1.5717859268188477	1	0
a_cat_H07	cat	a	1.6470258235931396	0	0
a_mat_F04	mat	a	1.4953877925872803	0	0
v_tut_F09	tut	v	5.17123818397522	0	0
a_cad_F04	cad	a	1.1343979835510254	1	0
a_tat_H05	tat	a	2.3547940254211426	0	0

#TotalErreurs#6TempsTotal#2min 43sec
