#Tue Mar 09 09:50:40 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_min_F08	min	i	1.9930260181427002	0	0
i_pick_F05	pick	i	0.7012491226196289	1	0
i_kip_F04	kip	i	1.9208850860595703	0	0
i_bin_H07	bin	i	0.799232006072998	1	0
I_mean_H06	mean	I	1.404954195022583	0	0
I_peak_F04	peak	I	1.1577832698822021	1	0
I_bean_F05	bean	I	1.2983720302581787	0	0
i_min_H08	min	i	1.1387410163879395	1	0
i_pick_H07	pick	i	2.1811320781707764	0	0
i_tick_H04	tick	i	2.489537000656128	0	0
i_sick_H06	sick	i	1.694685935974121	0	0
I_cheap_F08	cheap	I	1.2439541816711426	0	0
I_deed_H04	deed	I	1.2937700748443604	0	0
i_pick_F08	pick	i	1.2829618453979492	0	0
I_leak_F09	leak	I	0.888505220413208	1	0
i_min_H04	min	i	2.4140610694885254	0	0
I_peak_H05	peak	I	2.765023946762085	0	0
I_mean_F07	mean	I	3.14288592338562	0	0
I_mean_H09	mean	I	1.6028070449829102	0	0
i_bin_H06	bin	i	1.8270058631896973	0	0
I_seek_F06	seek	I	2.417698860168457	0	0
i_lick_H05	lick	i	0.6368839740753174	1	0
I_bean_H04	bean	I	1.29256010055542	0	0
i_sick_F08	sick	i	0.8023989200592041	1	0
I_deed_F04	deed	I	1.3931701183319092	0	0
I_bean_H07	bean	I	1.5475172996520996	0	0
i_chip_H05	chip	i	1.6967549324035645	0	0
i_kip_H08	kip	i	1.7834467887878418	0	0
I_keep_H09	keep	I	0.4754757881164551	1	0
i_did_H09	did	i	1.585118293762207	0	0

#TotalErreurs#8TempsTotal#1min 59sec
