Wed Feb 24 11:52:43 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_bik_H09	bik	i	i	2.471385955810547	0	0
v_putt_F09	putt	v	v	15.24043893814087	0	0
I_beak_F07	beak	I	I	2.469064235687256	0	0
i_lick_H06	lick	i	I	1.2855451107025146	1	0
i_min_H06	min	i	I	0.9246668815612793	1	0
I_mean_H06	mean	I	I	1.5208609104156494	0	0
v_cup_H06	cup	v	v	1.8576650619506836	0	0
a_back_F06	back	a	a	1.5677812099456787	0	1
v_luck_F08	luck	v	v	2.6894850730895996	0	0
v_cup_H04	cup	v	v	1.843263864517212	0	0
a_cap_H09	cap	a	a	1.8365743160247803	0	0
a_pat_H04	pat	a	a	1.2601349353790283	0	0
v_cup_F04	cup	v	v	1.3577628135681152	0	0
a_lack_H09	lack	a	a	2.133410930633545	0	0
A_carp_H07	carp	A	A	1.5633900165557861	0	0
a_cap_F06	cap	a	a	1.6661789417266846	0	0
a_back_H07	back	a	a	1.3934731483459473	0	0
i_lick_H05	lick	i	i	2.4881629943847656	0	0
A_carp_H05	carp	A	v	1.5167157649993896	1	0
A_mart_H05	mart	A	A	1.4577128887176514	0	0
i_lick_F07	lick	i	i	2.5609490871429443	0	0
v_cup_F08	cup	v	v	0.6405410766601562	0	1
i_bik_H05	bik	i	i	1.7139649391174316	0	0
A_part_F07	part	A	A	1.5116841793060303	0	0
v_buck_H07	buck	v	a	2.277913808822632	1	0
a_cap_H05	cap	a	a	1.4820399284362793	0	0
v_luck_H08	luck	v	v	1.472602128982544	0	0
i_min_H09	min	i	I	0.7703201770782471	1	0
i_lick_F09	lick	i	i	1.391000747680664	0	0
I_mean_F07	mean	I	I	1.5015308856964111	0	0

#TotalErreurs#5#TempsTotal#2min 16sec
