#Mon Apr 26 11:15:32 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_puck_H05	puck	v	2.9090921878814697	0	0
a_mat_H05	mat	a	1.1925392150878906	0	0
a_cat_F06	cat	a	0.7499258518218994	0	0
a_ban_F08	ban	a	1.235840082168579	0	0
v_cup_H09	cup	v	0.839094877243042	0	0
v_cup_H07	cup	v	0.956341028213501	0	0
v_tut_F05	tut	v	0.8019702434539795	0	0
a_cat_F05	cat	a	1.0273687839508057	0	0
a_tat_H04	tat	a	4.75630521774292	0	0
v_tut_F04	tut	v	0.9474630355834961	0	0
v_buck_H07	buck	v	1.0169379711151123	0	0
a_tat_H09	tat	a	0.8083670139312744	0	0
v_mutt_H09	mutt	v	3.633129119873047	0	0
a_back_F09	back	a	0.9133472442626953	0	0
a_pack_H09	pack	a	0.8313400745391846	0	0
v_cud_H08	cud	v	0.96744704246521	0	0
a_mat_F07	mat	a	1.4672651290893555	0	0
a_mat_F09	mat	a	0.8657059669494629	0	0
v_cut_F06	cut	v	1.008612871170044	0	0
v_cup_F04	cup	v	0.7034730911254883	0	0
a_back_H04	back	a	1.0890870094299316	0	0
a_pack_F06	pack	a	0.8109359741210938	0	0
a_pat_H05	pat	a	2.270956039428711	0	0
v_cud_F09	cud	v	0.8504431247711182	0	0
a_cad_H09	cad	a	0.8219361305236816	0	0
a_pat_H08	pat	a	0.8652188777923584	0	0
v_mutt_F06	mutt	v	1.0056750774383545	0	0
a_cap_H05	cap	a	1.0471549034118652	0	0
v_cup_F07	cup	v	1.1305620670318604	0	0
a_cad_H07	cad	a	1.4602298736572266	0	0

#TotalErreurs#0TempsTotal#1min 30sec
