#Mon Mar 01 09:56:24 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_cad_H08	cad	a	1.4737238883972168	1	1
v_cup_F07	cup	v	1.8480618000030518	0	0
v_cut_H08	cut	v	1.4071319103240967	0	1
v_cud_F08	cud	v	1.4568369388580322	1	0
v_putt_F05	putt	v	2.879678964614868	1	0
a_lack_H09	lack	a	1.89790678024292	0	0
v_bun_F07	bun	v	2.7497458457946777	0	0
v_puck_H04	puck	v	1.431946039199829	1	0
v_cut_F07	cut	v	3.620121955871582	0	0
a_pack_H08	pack	a	2.0294580459594727	0	1
v_luck_H06	luck	v	2.714813232421875	0	0
v_tut_H06	tut	v	2.428199052810669	0	0
v_mutt_F08	mutt	v	2.3070693016052246	0	0
v_cup_F06	cup	v	2.2830798625946045	0	0
v_cut_F09	cut	v	1.1161448955535889	1	2
a_pat_F06	pat	a	2.0442001819610596	0	0
a_cat_H04	cat	a	1.5312130451202393	0	0
v_mutt_F07	mutt	v	0.9982242584228516	1	0
a_cad_H09	cad	a	1.5301058292388916	0	0
a_ban_F07	ban	a	2.6850080490112305	0	0
v_tut_F08	tut	v	2.6656699180603027	0	0
v_buck_H09	buck	v	2.585434913635254	0	0
v_cut_H06	cut	v	1.5622727870941162	0	0
a_ban_H07	ban	a	1.9262678623199463	0	0
a_cat_F07	cat	a	1.6482021808624268	0	0
a_back_H04	back	a	1.3307759761810303	0	0
a_cap_F05	cap	a	1.491065263748169	0	0
v_puck_H08	puck	v	1.3275439739227295	1	0
v_mutt_H05	mutt	v	1.8774981498718262	1	0
v_puck_H05	puck	v	1.50205397605896	0	0

#TotalErreurs#8TempsTotal#3min 2sec
