#Wed Apr 14 15:35:27 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cud_F07	cud	v	1.751938819885254	0	0
v_bun_F04	bun	v	1.1704931259155273	0	0
v_puck_H07	puck	v	0.8757061958312988	0	0
A_tart_H06	tart	A	0.9080440998077393	0	0
A_barn_F08	barn	A	0.7539989948272705	0	0
v_bun_H09	bun	v	0.8900852203369141	0	0
A_cart_H08	cart	A	1.0023207664489746	0	0
A_mart_H05	mart	A	1.3740730285644531	0	0
A_bark_F04	bark	A	0.898137092590332	0	0
v_cut_H04	cut	v	0.9426369667053223	0	0
v_puck_F05	puck	v	1.2374582290649414	0	0
v_cup_H06	cup	v	2.308666944503784	0	0
A_lark_F08	lark	A	1.0530180931091309	0	0
v_luck_H05	luck	v	3.047981023788452	0	0
A_part_H05	part	A	2.9035019874572754	0	0
A_card_F04	card	A	1.5050702095031738	0	0
v_buck_F05	buck	v	2.814998149871826	0	0
A_lark_H06	lark	A	1.433513879776001	0	0
A_tart_F07	tart	A	1.0812857151031494	0	0
v_tut_H05	tut	v	1.1595609188079834	0	0
A_tart_F05	tart	A	1.5746500492095947	0	0
v_putt_H04	putt	v	1.1704862117767334	0	0
v_bun_F09	bun	v	2.777466058731079	0	0
A_lark_F07	lark	A	1.198004961013794	0	0
v_bun_F07	bun	v	0.9390249252319336	0	0
v_bun_H08	bun	v	0.7457611560821533	0	0
v_cut_F04	cut	v	0.7281670570373535	0	0
v_puck_F06	puck	v	1.1170310974121094	0	0
A_barn_F09	barn	A	0.9642837047576904	0	0
v_buck_H07	buck	v	0.8500070571899414	0	0

#TotalErreurs#0TempsTotal#1min 31sec
