#Thu Apr 08 19:13:33 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_cad_F06-a_cad_F07	1	1	1	1.206037998199463	0	0
v_luck_F07-v_luck_F09	1	1	1	0.9916808605194092	0	0
a_cap_F08-a_cap_F07	1	1	1	0.9068291187286377	0	0
v_bun_F04-a_ban_F09	2	2	1	1.1450059413909912	0	0
v_buck_F06-a_back_F08	2	2	1	0.945993185043335	0	0
a_ban_H09-v_bun_H05	2	2	1	0.8455820083618164	0	0
a_pat_F04-a_pat_F09	1	1	1	0.8759498596191406	0	0
v_putt_F09-v_putt_F08	1	1	1	1.1677181720733643	0	0
v_cup_F08-a_cap_F06	2	2	1	0.8442249298095703	0	0
a_pat_F06-a_pat_F05	1	1	1	0.8622221946716309	0	0
v_puck_F04-a_pack_F07	2	2	1	0.8383657932281494	0	0
v_buck_H07-v_buck_H08	1	1	1	1.2356479167938232	0	0
a_cap_H09-v_cup_H08	2	2	1	1.0994288921356201	0	0
a_back_H07-v_buck_H04	2	2	1	1.092696189880371	0	0
a_tat_F04-a_tat_F08	1	1	1	0.9434468746185303	0	0
v_mutt_F08-a_mat_F09	2	2	1	0.9691851139068604	0	0
v_putt_H04-a_pat_H06	2	2	1	0.9839129447937012	0	0
a_pat_F07-v_putt_F04	2	2	1	0.7428491115570068	0	0
a_back_H05-v_buck_H08	2	2	1	3.004349946975708	0	0
a_pack_H05-v_puck_H09	2	2	1	3.060925245285034	0	0
v_bun_F07-v_bun_F06	1	1	1	1.1997520923614502	0	0
v_cup_H04-a_cap_H05	2	2	1	1.1946947574615479	0	0
a_back_F08-a_back_F06	1	1	1	1.0276579856872559	0	0
a_cat_H07-v_cut_H05	2	2	1	0.868384838104248	0	0
v_luck_H07-v_luck_H09	1	1	1	1.0728559494018555	0	0
a_cad_H09-v_cud_H06	2	2	1	0.9097402095794678	0	0
a_cat_H05-v_cut_H04	2	2	1	1.7767269611358643	0	0
v_mutt_H04-a_mat_H07	2	2	1	2.7986397743225098	0	0
a_tat_H05-v_tut_H04	2	2	1	1.4883017539978027	0	0
v_luck_H08-a_lack_H09	2	2	1	1.239055871963501	0	0

#TotalErreurs#0#TempsTotal#2min 8sec
