#Tue Apr 06 17:25:08 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_luck_F09	luck	v	41.017064332962036	1	0
v_cup_F09	cup	v	3.8292667865753174	0	0
a_mat_F05	mat	a	2.1791999340057373	0	0
a_cap_F04	cap	a	1.1577379703521729	0	0
v_cud_H06	cud	v	2.7262210845947266	0	0
a_pat_H07	pat	a	1.07450270652771	0	0
v_puck_H05	puck	v	4.394427061080933	0	0
a_lack_H06	lack	a	2.2387561798095703	0	0
a_tat_F04	tat	a	2.2584009170532227	0	0
a_back_F06	back	a	1.7641379833221436	0	0
a_back_F07	back	a	0.05905008316040039	0	0
a_cap_H09	cap	a	1.8464829921722412	0	0
v_puck_F09	puck	v	1.383068323135376	0	0
v_bun_F04	bun	v	1.3798751831054688	0	0
v_tut_H08	tut	v	2.122669219970703	0	0
v_cut_H04	cut	v	1.1320381164550781	0	0
v_mutt_F04	mutt	v	0.05471324920654297	0	0
a_cat_H04	cat	a	1.1971900463104248	0	0
a_cad_H04	cad	a	2.0566599369049072	0	0
v_puck_H06	puck	v	1.5734241008758545	0	0
v_cud_H08	cud	v	6.657234191894531	0	0
a_mat_H09	mat	a	1.4347877502441406	0	0
a_ban_F09	ban	a	2.1407620906829834	0	0
v_tut_H06	tut	v	1.3050589561462402	0	0
a_ban_H08	ban	a	2.4270598888397217	0	0
a_tat_H05	tat	a	1.1982371807098389	0	0
v_tut_F07	tut	v	1.584486961364746	0	0
v_buck_H04	buck	v	3.227191925048828	0	0
a_cad_H08	cad	a	2.1858606338500977	0	0
a_pack_H06	pack	a	1.9378900527954102	0	0

#TotalErreurs#1TempsTotal#2min 31sec
