#Tue Apr 06 17:39:40 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cud_F08-a_cad_F04	2	2	1	2.359221935272217	0	0
v_luck_F05-v_luck_F04	1	1	1	1.9062070846557617	0	0
a_cat_H07-v_cut_H05	2	2	1	9.194611072540283	0	0
v_mutt_F04-a_mat_F07	2	2	1	6.860053062438965	0	0
v_luck_H06-a_lack_H04	2	2	1	4.380789041519165	0	0
a_tat_H04-a_tat_H08	1	1	1	2.5510621070861816	0	0
v_bun_F09-v_bun_F07	1	1	1	1.4633781909942627	0	0
v_puck_F07-v_puck_F08	1	1	1	1.5761210918426514	0	0
v_bun_F08-a_ban_F06	2	2	1	3.7977731227874756	0	0
a_cat_H05-v_cut_H04	2	2	1	1.613651990890503	0	0
a_lack_H07-v_luck_H08	2	2	1	6.884807348251343	0	0
a_lack_F07-v_luck_F08	2	2	1	16.392513036727905	0	0
a_cad_H04-a_cad_H08	1	1	1	0.9946880340576172	0	0
a_pack_H07-v_puck_H04	2	2	1	2.5101540088653564	0	0
v_cud_H05-v_cud_H04	1	2	0	3.350087881088257	1	0
a_pat_H06-a_pat_H05	1	1	1	0.7504298686981201	0	0
a_cad_H09-v_cud_H06	2	2	1	8.12010908126831	0	0
a_back_H08-a_back_H06	1	1	1	1.287039041519165	0	0
v_buck_F06-a_back_F08	2	2	1	1.1711349487304688	0	0
v_mutt_F05-v_mutt_F04	1	1	1	2.731473922729492	0	0
v_mutt_F07-v_mutt_F08	1	1	1	4.308996200561523	0	0
v_cud_H08-a_cad_H04	2	2	1	45.026098012924194	0	0
v_bun_H07-v_bun_H06	1	1	1	1.3393588066101074	0	0
a_cad_H06-a_cad_H07	1	1	1	6.419569730758667	0	0
a_cad_F07-v_cud_F09	2	2	1	1.4676380157470703	0	0
a_pack_H04-a_pack_H06	1	1	1	1.171044111251831	0	0
a_mat_F05-v_mutt_F07	2	2	1	1.8458261489868164	0	0
a_cad_F06-a_cad_F07	1	1	1	1.5730700492858887	0	0
v_tut_F09-v_tut_F07	1	1	1	1.6009552478790283	0	0
a_back_F05-v_buck_F08	2	2	1	1.6233232021331787	0	0

#TotalErreurs#1#TempsTotal#4min 5sec
