Mon Feb 22 15:54:16 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_deed_F09	deed	I	i	1.3978847459948156	1	0
i_kip_F07	kip	i	i	3.352585287007969	0	0
i_did_H08	did	i	i	1.266944736998994	0	0
A_cart_F04	cart	A	A	3.8323196769924834	0	0
v_bun_F08	bun	v	v	1.3045684839889873	0	0
i_sick_F04	sick	i	i	2.4787337009911425	0	0
v_puck_F08	puck	v	a	0.4622061150148511	1	0
v_tut_H08	tut	v	v	1.9936208160070237	0	0
I_deed_H05	deed	I	i	0.3050641489971895	1	0
A_barn_H06	barn	A	v	1.1120169250061736	1	0
I_keep_F06	keep	I	i	0.5016852529952303	1	0
A_tart_F05	tart	A	v	0.7026400699978694	1	0
A_park_F07	park	A	v	0.6150109340087511	1	0
I_keep_F04	keep	I	i	0.8760280949936714	1	0
v_bun_H09	bun	v	v	1.8348812249896582	0	0
a_ban_H04	ban	a	a	1.5076310030126479	0	0
a_cad_H05	cad	a	A	0.18324911998934112	2	0
v_bun_F09	bun	v	v	1.450759052997455	0	0
v_cut_H05	cut	v	a	0.23176789900753647	1	0
v_cut_H06	cut	v	v	1.5681244659936056	0	0
I_teak_F07	teak	I	i	0.03933994399267249	1	0
A_cart_F08	cart	A	v	0.5906811320164707	1	0
I_teak_F09	teak	I	I	1.7344186659902334	0	0
A_cart_H05	cart	A	v	0.26900613302132115	2	0
v_tut_F07	tut	v	v	1.0181190150033217	0	0
i_sick_H07	sick	i	I	0.5415013010206167	1	0
A_card_H07	card	A	A	1.9677588210033718	0	0
A_barn_H09	barn	A	v	2.066539126011776	1	0
I_deed_F05	deed	I	I	1.8356599200051278	0	0
i_tick_F06	tick	i	i	2.1632839090016205	0	0

#TotalErreurs#17#TempsTotal#2min 25sec
