#Sat Mar 20 17:30:00 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_ban_F04-a_ban_F07	1	1	1	1.0594120025634766	0	2
v_cup_F07-v_cup_F04	1	1	1	0.3135521411895752	0	0
v_buck_H05-v_buck_H09	1	2	0	0.07815098762512207	1	0
a_tat_F05-v_tut_F04	2	1	0	0.1683049201965332	1	0
a_back_H07-v_buck_H04	2	1	0	1.7238070964813232	1	0
v_puck_F08-a_pack_F07	2	2	1	0.4733102321624756	0	0
a_ban_F07-v_bun_F09	2	1	0	1.7933130264282227	1	0
v_cud_H06-a_cad_H05	2	1	0	1.3281478881835938	1	0
v_buck_F09-v_buck_F04	1	1	1	1.2222940921783447	0	0
v_cut_F05-v_cut_F07	1	1	1	0.48492884635925293	0	0
v_cut_F04-a_cat_F09	2	1	0	0.1234440803527832	1	0
a_ban_H07-v_bun_H09	2	2	1	1.1658217906951904	0	0
a_mat_H08-a_mat_H07	1	2	0	0.1355428695678711	1	0
a_tat_H05-v_tut_H04	2	1	0	0.07814908027648926	1	0
a_cad_H05-v_cud_H04	2	1	0	0.35993194580078125	1	0
a_pat_F06-a_pat_F05	1	2	0	0.8089118003845215	1	0
v_putt_F09-v_putt_F08	1	2	0	0.3498270511627197	1	0
a_cad_F08-a_cad_F06	1	1	1	1.2510530948638916	0	0
v_luck_F07-v_luck_F09	1	1	1	1.3966877460479736	0	0
a_cad_H09-v_cud_H06	2	1	0	0.19255828857421875	1	0
v_buck_H08-a_back_H07	2	2	1	0.08368492126464844	0	0
v_cup_H04-a_cap_H05	2	1	0	1.099306344985962	1	0
v_cut_F08-a_cat_F05	2	2	1	0.9475820064544678	0	0
a_back_F09-v_buck_F07	2	2	1	0.07918190956115723	0	0
a_pack_F04-a_pack_F06	1	1	1	0.17893505096435547	0	2
a_cat_F09-v_cut_F07	2	2	1	1.2131907939910889	0	0
v_tut_F08-a_tat_F05	2	2	1	0.3815598487854004	0	0
v_cud_F08-a_cad_F04	2	2	1	0.1159360408782959	0	0
a_pat_H09-v_putt_H04	2	1	0	1.7469289302825928	1	0
a_cat_H07-v_cut_H05	2	2	1	0.4783329963684082	0	0

#TotalErreurs#14#TempsTotal#3min 32sec
