#Thu Mar 04 11:21:49 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_leak_H04-I_leak_H06	1	1	1	0.6105237007141113	0	2
i_did_H08-I_deed_H05	2	1	0	0.3849678039550781	1	1
I_teak_H04-I_teak_H08	1	2	0	1.244563102722168	1	0
i_sick_H09-i_sick_H06	1	1	1	0.28606414794921875	0	0
i_chip_F06-I_chip_F05	2	1	0	0.8553998470306396	1	0
I_bean_F08-I_bean_F09	1	2	0	0.8827550411224365	1	2
i_kip_H04-I_keep_H07	2	2	1	1.841655969619751	0	0
i_kip_H06-I_keep_H05	2	2	1	0.5961470603942871	0	1
i_bin_H08-I_bean_H09	2	2	1	0.8121731281280518	0	1
I_teak_H05-i_tick_H04	2	2	1	1.156379222869873	0	0
i_lick_H05-i_lick_H06	1	1	1	0.9341239929199219	0	0
i_lick_H07-i_lick_H08	1	1	1	0.8343369960784912	0	0
I_cheap_H09-i_cheap_H08	2	1	0	0.9606273174285889	1	0
i_bin_F04-I_bean_F05	2	2	1	1.6371080875396729	0	0
I_mean_H05-i_min_H08	2	2	1	0.666363000869751	0	0
I_seek_F06-I_seek_F05	1	1	1	0.4096388816833496	0	1
i_min_H09-i_min_H04	1	2	0	0.3346831798553467	1	1
i_sick_H07-i_sick_H08	1	1	1	1.0049710273742676	0	0
I_bean_H05-i_bin_H06	2	2	1	1.5023410320281982	0	0
i_bin_F09-i_bin_F06	1	1	1	0.6706547737121582	0	0
i_min_F08-I_mean_F07	2	2	1	0.7765309810638428	0	0
I_leak_H09-i_lick_H08	2	1	0	0.1699986457824707	1	0
I_bean_H04-I_bean_H09	1	2	0	0.29708290100097656	1	1
I_bean_H06-I_bean_H05	1	2	0	0.8882322311401367	1	1
i_did_H05-i_did_H07	1	1	1	0.9476678371429443	0	0
I_seek_H07-i_sick_H09	2	2	1	1.181670904159546	0	1
i_sick_F05-i_sick_F04	1	1	1	0.8844928741455078	0	1
I_keep_F05-i_kip_F04	2	2	1	0.8478388786315918	0	0
i_min_H07-i_min_H08	1	1	1	1.0869967937469482	0	0
i_chip_H09-i_cheap_H06	1	2	0	0.14655399322509766	1	0

#TotalErreurs#10#TempsTotal#3min 10sec
