Tue Mar 30 08:16:15 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_carp_H09	carp	A	v	3.1634159088134766	1	0
I_beak_H09	beak	I	i	1.617246150970459	1	0
a_pat_F05	pat	a	A	2.313145875930786	1	0
A_bark_F05	bark	A	A	2.7583370208740234	0	0
A_bark_H06	bark	A	A	1.2504909038543701	0	0
A_part_H05	part	A	v	1.0516438484191895	2	0
A_lark_H07	lark	A	A	1.750427007675171	0	0
v_cup_F09	cup	v	v	1.8774101734161377	0	0
a_mat_F04	mat	a	a	3.4856860637664795	0	0
i_lick_H05	lick	i	i	2.413288116455078	0	0
v_cup_H05	cup	v	v	2.0521469116210938	0	0
i_lick_F05	lick	i	i	2.822402000427246	0	0
v_luck_H05	luck	v	v	2.0396370887756348	0	0
v_luck_F07	luck	v	v	2.6336939334869385	0	0
I_bean_H05	bean	I	I	2.6720991134643555	0	0
A_part_H04	part	A	A	1.9311869144439697	0	0
a_cap_H04	cap	a	a	1.9575128555297852	0	0
A_lark_F07	lark	A	v	2.641601085662842	1	0
v_buck_F08	buck	v	a	2.3884379863739014	1	0
I_cheap_F06	cheap	I	I	2.1329360008239746	0	0
i_bik_F06	bik	i	i	1.93068528175354	0	0
a_back_F04	back	a	a	1.9954180717468262	0	0
i_chip_H08	chip	i	i	2.6425280570983887	0	0
a_cap_H06	cap	a	a	3.0649800300598145	0	0
i_min_H06	min	i	v	1.261247158050537	1	1
I_mean_F08	mean	I	I	2.4472320079803467	0	0
I_leak_F08	leak	I	I	2.4722201824188232	0	0
I_bean_F09	bean	I	I	2.741455078125	0	0
v_buck_H05	buck	v	v	2.6312267780303955	0	0
v_mutt_H05	mutt	v	a	1.115177869796753	2	0

#TotalErreurs#10#TempsTotal#2min 39sec
