#Sun Apr 11 16:36:20 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_cat_F07	cat	a	1.427168846130371	1	0
v_bun_H06	bun	v	1.7760779857635498	0	0
v_cup_F07	cup	v	12.752962827682495	0	0
a_pat_F04	pat	a	7.7951929569244385	0	0
v_buck_H07	buck	v	5.469883918762207	1	2
a_ban_H07	ban	a	10.154707193374634	0	0
v_puck_F09	puck	v	2.029141902923584	0	0
a_lack_F06	lack	a	4.610480785369873	0	0
v_mutt_F04	mutt	v	1.6561870574951172	0	0
a_cad_F07	cad	a	2.138679027557373	0	0
v_putt_H09	putt	v	6.435410737991333	0	0
v_cud_F07	cud	v	4.212442874908447	0	0
v_cup_F08	cup	v	11.164035081863403	0	0
a_pat_H04	pat	a	2.7497646808624268	0	0
v_cut_H07	cut	v	6.003948926925659	0	0
v_bun_H04	bun	v	2.662416696548462	0	0
v_buck_F07	buck	v	4.124801158905029	0	0
v_bun_H08	bun	v	2.3763530254364014	0	0
a_tat_F04	tat	a	3.5942752361297607	0	0
a_cad_F09	cad	a	3.141430616378784	0	0
a_cad_H05	cad	a	4.835525989532471	0	0
v_cup_H04	cup	v	1.7458770275115967	0	0
v_tut_F07	tut	v	5.234849214553833	0	0
v_buck_F04	buck	v	6.746985912322998	0	0
v_cut_H04	cut	v	1.7652230262756348	0	0
a_pack_H04	pack	a	2.320518970489502	0	0
a_cad_F05	cad	a	5.732227087020874	0	0
v_buck_F08	buck	v	12.054058074951172	0	0
a_cap_H04	cap	a	4.461386203765869	0	0
v_bun_F04	bun	v	1.325544834136963	0	0

#TotalErreurs#2TempsTotal#31min 39sec
