#Tue Mar 02 14:51:54 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_park_H09	park	A	1.3980591297149658	0	3
v_buck_F08	buck	v	3.094794988632202	0	0
A_bark_H05	bark	A	0.1599407196044922	1	0
v_luck_F08	luck	v	0.1615900993347168	0	0
v_tut_F05	tut	v	0.15332722663879395	0	0
A_park_F09	park	A	1.7092828750610352	1	0
A_carp_F05	carp	A	1.9611079692840576	0	0
A_carp_H05	carp	A	1.8903520107269287	0	0
v_bun_H09	bun	v	1.3836910724639893	0	0
v_puck_H06	puck	v	0.14030218124389648	1	0
A_bark_F07	bark	A	0.15654301643371582	2	0
A_tart_H06	tart	A	0.375931978225708	1	0
A_tart_F05	tart	A	0.455517053604126	1	0
v_puck_F06	puck	v	1.3952298164367676	0	0
v_cud_H06	cud	v	1.945185899734497	0	0
v_luck_H05	luck	v	2.4899840354919434	0	0
v_putt_F04	putt	v	0.47031116485595703	1	0
A_lark_H08	lark	A	0.43584609031677246	1	0
A_card_H05	card	A	0.26064395904541016	0	0
v_putt_H07	putt	v	2.7724010944366455	1	0
v_cup_F04	cup	v	2.651571035385132	0	0
A_bark_H09	bark	A	2.274012804031372	1	0
v_cut_H08	cut	v	2.1440210342407227	0	0
A_park_F05	park	A	2.557788848876953	0	0
A_bark_F06	bark	A	0.8566489219665527	1	0
v_puck_H08	puck	v	1.8259148597717285	0	0
v_tut_H08	tut	v	1.3790268898010254	0	0
v_cut_H05	cut	v	1.432244062423706	0	0
A_cart_F06	cart	A	1.9361228942871094	0	0
A_barn_F09	barn	A	0.501166820526123	1	0

#TotalErreurs#13TempsTotal#2min 18sec
