Sun Apr 11 18:04:02 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_bean_H08	bean	I	I	6.590100049972534	0	0
a_back_F08	back	a	a	6.853384971618652	0	0
a_mat_F07	mat	a	a	0.949347734451294	0	0
v_mutt_H04	mutt	v	v	6.085322141647339	0	0
a_cap_H08	cap	a	a	2.6592330932617188	0	0
i_min_F08	min	i	i	2.2342422008514404	0	0
a_mat_F06	mat	a	a	2.1604087352752686	0	0
I_mean_H08	mean	I	I	1.1969919204711914	0	0
i_bik_H07	bik	i	i	1.3864450454711914	0	0
v_mutt_H05	mutt	v	v	1.158616065979004	0	0
A_lark_F04	lark	A	v	0.42501401901245117	1	0
v_luck_F09	luck	v	v	7.480047941207886	0	0
i_min_F05	min	i	i	16.236032962799072	0	0
i_lick_H09	lick	i	i	13.910223722457886	0	0
I_beak_H04	beak	I	I	2.825119972229004	0	0
i_bin_H05	bin	i	i	1.989180088043213	0	0
I_cheap_F07	cheap	I	I	3.9985039234161377	0	0
v_putt_F05	putt	v	v	2.6068849563598633	0	0
A_bark_H07	bark	A	A	7.8748579025268555	0	0
A_part_F08	part	A	A	3.4474689960479736	0	0
a_pat_F08	pat	a	a	2.070167064666748	0	0
A_carp_F07	carp	A	A	2.1326398849487305	0	0
A_part_F06	part	A	A	1.1356520652770996	0	0
i_bik_H08	bik	i	i	3.279331684112549	0	0
A_part_H07	part	A	A	4.36829400062561	0	0
i_min_H08	min	i	i	7.135135173797607	0	0
I_cheap_F08	cheap	I	I	3.0164690017700195	0	0
v_mutt_H06	mutt	v	v	1.0956881046295166	0	0
I_bean_F08	bean	I	I	1.5492210388183594	0	0
A_mart_H09	mart	A	A	2.0713369846343994	0	0

#TotalErreurs#1#TempsTotal#2min 51sec
