#Tue Mar 02 14:47:50 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_cap_H04-a_cap_H05	1	1	1	1.3118631839752197	0	0
a_tat_F06-a_tat_F08	1	2	0	0.27721524238586426	1	0
a_lack_H08-a_lack_H09	1	1	1	1.77549409866333	0	0
a_cap_F04-a_cap_F05	1	1	1	3.6488430500030518	0	0
v_buck_F05-v_buck_F09	1	1	1	0.18822693824768066	0	0
v_cup_F04-a_cap_F05	2	2	1	0.9904258251190186	0	0
a_pack_H06-a_pack_H05	1	1	1	0.24669599533081055	0	0
a_pack_H07-v_puck_H04	2	2	1	0.22461318969726562	0	0
v_mutt_H07-v_mutt_H08	1	1	1	0.5961856842041016	0	0
v_putt_F08-a_pat_F04	2	2	1	0.24201178550720215	0	0
v_mutt_H04-a_mat_H07	2	2	1	1.0872259140014648	0	0
v_cup_F06-a_cap_F05	2	1	0	0.5491929054260254	1	0
v_putt_H05-v_putt_H06	1	1	1	1.236098051071167	0	0
v_luck_F07-v_luck_F09	1	1	1	1.0054519176483154	0	0
v_cut_H06-a_cat_H09	2	2	1	0.8064210414886475	0	0
a_cat_H08-a_cat_H05	1	1	1	0.3993570804595947	0	0
a_pat_H07-v_putt_H04	2	1	0	0.10554718971252441	1	0
a_pack_F04-a_pack_F06	1	1	1	0.10899496078491211	0	0
a_cat_H06-a_cat_H09	1	1	1	1.0941879749298096	0	0
a_cad_H04-a_cad_H08	1	2	0	0.06096625328063965	1	0
v_buck_F08-a_back_F07	2	2	1	0.5417840480804443	0	0
v_mutt_F06-a_mat_F05	2	1	0	0.541229248046875	1	0
v_mutt_H08-a_mat_H09	2	2	1	1.4923150539398193	0	0
v_luck_F08-a_lack_F09	2	2	1	1.2684190273284912	0	0
a_back_F08-a_back_F06	1	1	1	1.4006679058074951	0	0
a_lack_H05-v_luck_H06	2	2	1	0.4133260250091553	0	0
a_pat_H08-a_pat_H09	1	2	0	0.12641525268554688	1	0
a_pat_F08-a_pat_F09	1	2	0	0.04551291465759277	1	0
a_pat_H09-v_putt_H04	2	2	1	0.627223014831543	0	0
v_bun_F04-a_ban_F09	2	1	0	0.04976296424865723	1	0

#TotalErreurs#8#TempsTotal#2min 25sec
