#Sun Mar 21 18:34:03 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_bark_H06-A_bark_H04	1	1	1	30.341448068618774	0	0
v_cut_F09-v_cut_F04	1	1	1	0.04574918746948242	0	0
v_bun_F05-v_bun_F08	1	1	1	1.5303120613098145	0	0
v_cud_H06-A_card_H05	2	2	1	1.3195269107818604	0	0
v_tut_F08-A_tart_F05	2	2	1	2.36086106300354	0	0
v_cup_F04-A_carp_F05	2	2	1	1.2013533115386963	0	0
A_card_H06-A_card_H07	1	1	1	1.8308091163635254	0	0
A_tart_F08-A_tart_F04	1	1	1	1.584968090057373	0	0
v_bun_F07-v_bun_F06	1	1	1	1.4649181365966797	0	0
A_park_H06-A_park_H05	1	1	1	0.9969379901885986	0	0
A_carp_F05-v_cup_F07	2	2	1	1.1120870113372803	0	0
A_barn_H07-v_bun_H09	2	1	0	1.9717600345611572	1	0
A_mart_F09-v_mutt_F05	2	2	1	1.9279580116271973	0	0
v_buck_F05-v_buck_F09	1	1	1	1.406552791595459	0	0
v_cup_H07-v_cup_H04	1	1	1	2.3594138622283936	0	0
v_puck_F09-v_puck_F08	1	1	1	1.286982774734497	0	0
v_cud_H07-v_cud_H08	1	1	1	0.7349057197570801	0	0
v_tut_H04-A_tart_H07	2	2	1	1.6147880554199219	0	0
A_cart_H07-v_cut_H05	2	1	0	0.9135518074035645	1	0
v_puck_F07-v_puck_F08	1	1	1	2.329813003540039	0	0
A_mart_H05-v_mutt_H07	2	2	1	2.400501012802124	0	0
A_barn_F06-A_barn_F08	1	1	1	0.7923321723937988	0	0
v_luck_F06-A_lark_F04	2	2	1	0.7637298107147217	0	0
A_bark_F07-v_buck_F04	2	2	1	0.7312588691711426	0	0
v_luck_F09-v_luck_F06	1	1	1	1.4611432552337646	0	0
v_luck_F08-A_lark_F09	2	2	1	2.2312331199645996	0	0
v_putt_H04-A_part_H06	2	2	1	1.264258623123169	0	0
A_bark_H05-v_buck_H08	2	1	0	0.040213584899902344	1	0
v_cut_F07-v_cut_F04	1	1	1	2.3307368755340576	0	0
A_tart_F05-v_tut_F04	2	2	1	1.825526237487793	0	0

#TotalErreurs#3#TempsTotal#3min 3sec
