#00#Sun Feb 28 17:07:59 2021#ListeOddity_1.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
v_putt_F09-v_putt_F04-A_part_F08	A	3	3	1	0.6380302906036377	0	2
I_cheap_H05-I_cheap_H07-i_chip_H09	i	3	2	0	0.08996295928955078	2	0
v_buck_F05-A_bark_F09-v_buck_F04	A	2	2	1	0.6507210731506348	0	0
A_lark_F07-v_luck_F09-v_luck_F05	A	1	3	0	0.2073049545288086	3	0
v_mutt_F05-A_mart_F08-A_mart_F06	v	1	1	1	0.4611377716064453	0	0
I_leak_H08-I_leak_H07-i_lick_H05	i	3	3	1	0.3718221187591553	0	1
a_mat_H04-a_mat_H05-v_mutt_H08	v	3	3	1	0.3738560676574707	0	0
a_back_H04-v_buck_H08-a_back_H07	v	2	2	1	0.5214910507202148	0	0
A_bark_H06-v_buck_H04-A_bark_H09	v	2	2	1	0.05045819282531738	0	1
i_min_F06-i_min_F05-I_mean_F07	I	3	3	1	0.31436800956726074	0	0
v_putt_F08-A_part_F09-v_putt_F05	A	2	2	1	0.6195111274719238	0	0
v_cup_F07-v_cup_F08-A_carp_F09	A	3	1	0	0.6395320892333984	3	0
i_bik_F08-i_bik_F05-I_beak_F04	I	3	3	1	0.7332241535186768	0	1
A_bark_H09-A_bark_H04-v_buck_H09	v	3	3	1	0.28400492668151855	0	0
I_beak_F06-I_beak_F05-i_bik_F09	i	3	3	1	0.598876953125	0	1
v_luck_H08-A_lark_H06-A_lark_H04	v	1	3	0	0.06661295890808105	3	0
v_mutt_H05-v_mutt_H07-A_mart_H08	A	3	3	1	0.05068397521972656	0	0
i_lick_F08-i_lick_F09-I_leak_F06	I	3	3	1	0.665795087814331	0	0
a_mat_H04-v_mutt_H06-a_mat_H09	v	2	3	0	0.7234010696411133	2	0
A_part_F07-A_part_F06-v_putt_F05	v	3	3	1	0.25150394439697266	0	1
a_lack_H06-a_lack_H05-v_luck_H09	v	3	3	1	0.7755861282348633	0	0
v_buck_H08-a_back_H07-a_back_H04	v	1	1	1	0.8177590370178223	0	0
I_mean_F05-i_min_F04-i_min_F08	I	1	1	1	0.7577548027038574	0	0
v_putt_F09-a_pat_F05-v_putt_F07	a	2	2	1	0.8195168972015381	0	0
A_lark_H04-v_luck_H05-A_lark_H07	v	2	3	0	0.1445298194885254	2	0
A_mart_H07-v_mutt_H05-v_mutt_H09	A	1	1	1	0.9666078090667725	0	2
