#Mon Mar 01 16:40:05 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_lick_F06	lick	i	6.736485977307893	0	0
i_sick_H08	sick	i	3.7366180195240304	0	0
I_seek_H08	seek	I	3.9581659242976457	0	0
i_lick_F04	lick	i	4.249158089514822	0	0
I_deed_H07	deed	I	2.9150630614021793	0	0
i_pick_F06	pick	i	4.198273992049508	0	0
i_did_F08	did	i	4.5152840237133205	0	0
I_beak_F05	beak	I	2.071250097360462	0	0
i_bik_F07	bik	i	2.1053501068381593	0	0
I_bean_F07	bean	I	2.132636080146767	0	0
I_peak_F06	peak	I	2.222008076030761	0	0
i_pick_H05	pick	i	1.979470927733928	0	0
I_seek_F05	seek	I	3.013391025713645	0	0
I_teak_F05	teak	I	2.7482731117634103	0	0
i_did_F09	did	i	2.9275821066694334	0	0
I_leak_H09	leak	I	1.26136307453271	1	0
i_sick_H05	sick	i	2.6751819961937144	0	0
i_did_H05	did	i	1.900137058692053	0	0
I_bean_H05	bean	I	2.0796109276125208	0	0
I_peak_F05	peak	I	3.3060319295618683	0	0
i_kip_F04	kip	i	2.064212957629934	0	0
i_bin_H04	bin	i	2.7684800083516166	0	0
i_min_F04	min	i	4.429373917053454	0	0
I_seek_F08	seek	I	1.2030470732133836	1	0
I_beak_F09	beak	I	1.187275049625896	0	0
I_mean_H07	mean	I	1.4805729824583977	0	0
I_deed_F09	deed	I	2.6873820673208684	0	0
I_bean_F06	bean	I	1.9802540035452694	0	0
i_bin_H05	bin	i	1.268272027024068	1	0
I_bean_H06	bean	I	3.2489710175432265	1	0

#TotalErreurs#4TempsTotal#2min 34sec
