Mon Apr 12 23:06:46 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_lark_F08	lark	A	v	2.3537468910217285	2	1
v_luck_H07	luck	v	v	1.7964491844177246	0	0
a_pat_F06	pat	a	a	1.5473012924194336	0	1
I_cheap_H05	cheap	I	I	2.942246913909912	0	0
v_cup_H04	cup	v	v	1.8905069828033447	0	1
a_lack_F05	lack	a	a	6.681091785430908	0	0
I_cheap_F09	cheap	I	i	1.0632119178771973	1	0
A_bark_F08	bark	A	A	1.6172080039978027	0	1
A_part_F07	part	A	A	1.7740399837493896	0	0
i_min_F08	min	i	i	3.865417957305908	0	0
I_leak_F09	leak	I	I	1.9600377082824707	0	0
a_pat_F09	pat	a	a	3.384558916091919	0	1
a_back_H07	back	a	a	3.3862650394439697	0	0
i_bin_F09	bin	i	i	2.012450695037842	0	0
A_bark_H09	bark	A	A	1.7788100242614746	0	0
I_bean_H05	bean	I	I	4.1377482414245605	0	0
a_pat_H04	pat	a	a	3.328289747238159	0	0
v_buck_H07	buck	v	A	3.1277570724487305	1	0
A_part_H04	part	A	a	0.9193637371063232	1	1
v_cup_F05	cup	v	A	1.2760300636291504	1	1
v_buck_H09	buck	v	v	1.942185878753662	0	0
v_mutt_H06	mutt	v	A	0.9039368629455566	1	2
a_lack_F08	lack	a	a	2.0082812309265137	0	0
i_bik_F06	bik	i	i	2.0463147163391113	0	1
a_cap_F06	cap	a	v	0.14546680450439453	1	1
i_lick_H08	lick	i	i	2.1775407791137695	0	0
v_buck_F08	buck	v	A	0.7296369075775147	1	0
a_mat_H08	mat	a	a	2.390727996826172	0	0
A_mart_F04	mart	A	A	1.4986050128936768	0	0
a_back_H09	back	a	i	1.8718609809875488	1	0

#TotalErreurs#10#TempsTotal#4min 14sec
