#00#Sun May 02 16:13:16 2021#ListeOddity_1.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
v_putt_H09-a_pat_H05-v_putt_H07	a	2	2	1	1.1556031703948975	0	0
A_bark_H06-v_buck_H04-A_bark_H09	v	2	2	1	0.67323899269104	0	0
A_part_H07-v_putt_H06-A_part_H05	v	2	1	0	0.07810187339782715	3	0
i_min_H06-i_min_H05-I_mean_H07	I	3	3	1	0.5226118564605713	0	0
a_pat_H08-a_pat_H06-v_putt_H04	v	3	1	0	0.19765090942382813	4	0
A_carp_H05-A_carp_H09-v_cup_H04	v	3	3	1	0.6915671825408936	0	0
I_beak_H07-i_bik_H05-i_bik_H08	I	1	1	1	0.39035797119140625	0	0
I_cheap_F04-i_chip_F07-i_chip_F05	I	1	1	1	0.6358890533447266	0	0
A_lark_H04-v_luck_H05-A_lark_H07	v	2	2	1	0.14474701881408691	0	0
i_min_H07-I_mean_H04-I_mean_H05	i	1	1	1	0.611746072769165	0	0
i_bik_F09-I_beak_F07-I_beak_F06	i	1	1	1	1.3218610286712646	0	0
i_chip_H07-I_cheap_H09-I_cheap_H04	i	1	1	1	1.1679081916809082	0	0
v_buck_F05-A_bark_F09-v_buck_F04	A	2	2	1	0.6219189167022705	0	0
A_lark_F07-v_luck_F09-v_luck_F05	A	1	1	1	1.5380268096923828	0	0
v_putt_F05-v_putt_F07-a_pat_F08	a	3	1	0	0.03124094009399414	3	0
A_bark_F06-v_buck_F04-A_bark_F09	v	2	2	1	0.5100030899047852	0	0
v_cup_F07-A_carp_F04-A_carp_F09	v	1	1	1	0.8828988075256348	0	0
i_bin_H08-i_bin_H09-I_bean_H07	I	3	3	1	0.21522212028503418	0	0
v_buck_H08-a_back_H07-a_back_H04	v	1	1	1	1.4020240306854248	0	0
v_mutt_F09-v_mutt_F05-a_mat_F06	a	3	3	1	0.4576849937438965	0	0
I_mean_F06-i_min_F07-I_mean_F05	i	2	2	1	0.8085319995880127	0	0
a_back_F08-a_back_F07-v_buck_F06	v	3	3	1	0.3098459243774414	0	0
v_mutt_H08-a_mat_H09-a_mat_H04	v	1	1	1	1.0904481410980225	0	0
v_putt_H07-A_part_H09-A_part_H05	v	1	1	1	0.7966220378875732	0	0
v_buck_F06-a_back_F07-v_buck_F08	a	2	2	1	0.0937201976776123	0	0
A_mart_F06-A_mart_F09-v_mutt_F07	v	3	3	1	0.4284350872039795	0	0
I_mean_H05-I_mean_H08-i_min_H04	i	3	3	1	0.2881641387939453	0	0
v_cup_H07-A_carp_H04-A_carp_H09	v	1	1	1	2.09049916267395	0	0
i_bik_H08-i_bik_H05-I_beak_H04	I	3	3	1	0.6701030731201172	0	0
v_cup_H07-v_cup_H08-A_carp_H09	A	3	2	0	0.7654070854187012	2	0

#TotalErreurs#12TempsTotal#5min 12sec
