Sun Feb 28 12:03:04 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
v_cud_F08	cud	v	v	5.832974124699831	0	1
I_deed_H09	deed	I	I	1.3962758937850595	0	0
I_keep_F07	keep	I	I	3.10232506506145	0	0
v_puck_F09	puck	v	v	2.068290652707219	0	0
a_tat_H06	tat	a	a	3.20218056300655	0	0
a_ban_H06	ban	a	a	1.3938372707925737	0	0
v_bun_H07	bun	v	v	1.336857354734093	0	0
A_tart_H08	tart	A	v	1.1378101068548858	1	0
a_pack_F05	pack	a	a	1.9739411370828748	0	0
A_card_F08	card	A	v	1.7831190200522542	1	0
A_cart_F06	cart	A	A	2.3509261198341846	0	0
v_cut_H09	cut	v	v	1.3351961746811867	0	0
a_tat_F07	tat	a	a	1.4281689999625087	0	0
I_deed_H05	deed	I	I	1.7825100324116647	0	0
I_deed_F08	deed	I	I	1.4313456267118454	0	0
v_bun_H08	bun	v	v	1.5083146872930229	0	0
I_seek_F09	seek	I	I	2.1854348010383546	0	0
A_tart_F04	tart	A	A	2.386391340754926	0	0
a_cat_F07	cat	a	a	1.3217453020624816	0	0
A_park_F07	park	A	A	1.513365759048611	0	0
A_park_F08	park	A	A	17.85465265996754	0	1
I_peak_H09	peak	I	I	3.0194839099422097	0	0
a_pack_F07	pack	a	a	1.501489046961069	0	0
I_peak_F07	peak	I	I	1.6513858162797987	0	0
i_pick_H08	pick	i	i	1.4423082354478538	0	0
i_kip_F06	kip	i	i	1.0580350807867944	0	0
a_tat_F09	tat	a	a	1.3296024450100958	0	0
i_did_H04	did	i	i	1.4142194367013872	0	0
v_puck_H07	puck	v	v	1.0960401240736246	0	0
v_puck_H08	puck	v	v	1.8855833802372217	0	0

#TotalErreurs#2#TempsTotal#2min 15sec
