#Fri Mar 26 17:37:45 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_keep_H09-i_kip_H06	2	2	1	2.341611110139638	0	0
i_chip_H07-i_cheap_H04	1	1	1	0.7203403348103166	0	0
I_deed_F06-I_deed_F09	1	1	1	1.1193012637086213	0	0
i_sick_F08-I_seek_F09	2	2	1	1.0207930319011211	0	0
i_bik_H06-I_beak_H07	2	2	1	0.567153044976294	0	0
I_peak_F06-I_peak_F08	1	1	1	0.6402494627982378	0	0
I_leak_H07-i_lick_H04	2	2	1	0.45677026687189937	0	0
i_lick_H09-i_lick_H08	1	1	1	1.3846330679953098	0	0
i_sick_H04-I_seek_H07	2	2	1	1.1573529308661819	0	0
i_tick_F08-I_teak_F05	2	2	1	6.380959349684417	0	0
i_did_F05-i_did_F07	1	1	1	0.6524511678144336	0	0
i_min_F04-I_mean_F08	2	2	1	1.0556274810805917	0	0
I_peak_H07-i_pick_H09	2	2	1	0.09306733729317784	0	0
I_deed_H06-I_deed_H09	1	1	1	0.4349232269451022	0	0
i_kip_F06-I_keep_F05	2	2	1	0.29439407773315907	0	0
I_deed_F05-i_did_F04	2	2	1	0.23774657491594553	0	0
I_keep_F04-I_keep_F08	1	1	1	0.41636389633640647	0	0
I_seek_F04-I_seek_F05	1	1	1	2.479112032800913	0	0
i_did_F09-i_did_F04	1	1	1	8.050328277982771	0	0
I_peak_H08-I_peak_H05	1	1	1	0.6501287179999053	0	0
I_peak_H06-I_peak_H08	1	1	1	0.22800321877002716	0	0
I_keep_F09-i_kip_F06	2	2	1	1.330573549028486	0	0
I_beak_F05-i_bik_F06	2	1	0	0.1498094559647143	1	0
I_peak_H04-I_peak_H07	1	1	1	0.6288702259771526	0	0
I_leak_F07-i_lick_F04	2	2	1	1.6517718639224768	0	0
i_bin_H07-i_bin_H09	1	1	1	0.5032405378296971	0	0
i_kip_F08-I_keep_F04	2	2	1	1.062769421376288	0	0
I_peak_F08-I_peak_F05	1	1	1	0.5192183000035584	0	0
I_mean_H05-i_min_H08	2	2	1	0.16029599402099848	0	0
I_beak_F04-I_beak_F09	1	1	1	0.5531019703485072	0	0

#TotalErreurs#1#TempsTotal#2min 7sec
