Mon Feb 22 21:20:26 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_lick_H07	lick	i	i	3.1243379107909277	0	0
I_cheap_F07	cheap	I	I	1.4248770272824913	0	0
v_putt_F04	putt	v	v	1.5040188818238676	0	0
A_bark_H08	bark	A	A	1.5816579811507836	0	0
a_mat_H09	mat	a	a	1.054383003152907	0	0
I_mean_H06	mean	I	I	1.459310908219777	0	0
a_back_F06	back	a	a	1.349191025365144	0	0
I_leak_H04	leak	I	I	1.970866053015925	0	0
A_lark_F05	lark	A	A	1.6952280140249059	0	0
a_back_H08	back	a	a	2.140853113727644	0	0
A_part_H06	part	A	A	1.6856219874462113	0	0
I_mean_H05	mean	I	I	1.989212028332986	0	0
I_leak_H06	leak	I	I	1.277245000936091	0	0
a_mat_F04	mat	a	a	2.305207079509273	0	0
A_bark_F07	bark	A	A	1.4766619107685983	0	0
v_putt_F09	putt	v	v	1.1748590575298294	0	0
A_mart_H04	mart	A	A	1.672570900293067	0	0
I_mean_F04	mean	I	I	1.358664070139639	0	0
I_leak_F08	leak	I	I	0.7831411126535386	0	0
A_mart_H05	mart	A	v	0.2994489730335772	1	0
A_carp_H04	carp	A	A	0.9282250534743071	0	0
v_luck_F07	luck	v	v	1.290711980778724	0	0
i_bin_H08	bin	i	i	1.9344689805293456	0	0
i_bik_F04	bik	i	i	0.7856969166314229	0	0
a_pat_F09	pat	a	a	1.4710690362844616	0	0
v_putt_H06	putt	v	v	1.4676149054430425	0	0
a_lack_H06	lack	a	a	3.1299410375067964	0	0
I_leak_H09	leak	I	I	1.8315598984481767	0	0
a_cap_F05	cap	a	a	2.0207310292171314	0	0
A_part_F06	part	A	A	1.9661558899097145	0	0

#TotalErreurs#1#TempsTotal#1min 40sec
