Fri Feb 12 22:15:29 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
v_puck_H08	puck	v	v	2.5115560177946463	0	0
i_tick_F07	tick	i	i	1.6221349484985694	0	0
A_card_F08	card	A	A	1.3078691008267924	0	0
a_tat_H04	tat	a	a	1.4299310897476971	0	0
v_bun_F08	bun	v	v	1.4566621009726077	0	0
I_seek_H09	seek	I	I	1.5535479369573295	0	0
a_cad_H07	cad	a	a	2.1542759378207847	0	0
A_card_F09	card	A	A	1.1618109592236578	0	0
A_barn_H06	barn	A	A	1.497285109711811	0	0
v_cut_F07	cut	v	v	1.3712470843456686	0	0
v_tut_H07	tut	v	v	0.9560558947268874	0	0
I_keep_H06	keep	I	I	1.622261107317172	0	0
v_bun_H07	bun	v	v	1.3313080213265494	0	0
a_ban_H06	ban	a	a	1.7390769998310134	0	0
i_kip_H04	kip	i	i	1.6686870572157204	0	0
A_cart_H07	cart	A	A	1.342302010860294	0	0
v_bun_F09	bun	v	v	1.4374600359005854	0	0
i_kip_F05	kip	i	i	1.5705178902717307	0	0
A_tart_F04	tart	A	A	1.3728859930997714	0	0
a_pack_H08	pack	a	a	2.533754079719074	0	0
i_did_H09	did	i	i	2.366439985111356	0	0
i_pick_F08	pick	i	i	1.1682301110122353	0	0
a_tat_F07	tat	a	a	1.510662103886716	0	0
v_puck_F09	puck	v	v	1.2320470488630235	0	0
A_tart_H06	tart	A	A	1.3402380640618503	0	0
v_cut_H05	cut	v	v	1.160796973039396	0	0
I_peak_F04	peak	I	I	2.109358019893989	0	0
i_tick_H07	tick	i	i	1.5930559606058523	0	0
a_ban_H07	ban	a	a	1.4426110397325829	0	0
v_tut_H06	tut	v	v	2.2477270719828084	0	0

#TotalErreurs#0#TempsTotal#1min 37sec
