Mon Mar 22 21:24:44 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_card_F06	card	A	A	1.8215248968917876	0	0
i_tick_H06	tick	i	i	2.112848923075944	0	0
I_teak_F07	teak	I	I	0.9654540376504883	0	0
I_deed_H04	deed	I	I	1.1607850620057434	0	0
I_keep_F05	keep	I	I	0.6246278848266229	0	0
i_did_F04	did	i	i	1.351887015858665	0	0
a_tat_F06	tat	a	a	1.2239230690756813	0	0
I_deed_H05	deed	I	I	1.3810700691537932	0	0
i_pick_F05	pick	i	i	1.2871060889447108	0	0
i_pick_H09	pick	i	i	0.7099550121929497	0	0
i_sick_H06	sick	i	i	0.6034470387967303	0	0
a_tat_H07	tat	a	a	1.3636919170385227	0	0
v_bun_F06	bun	v	v	1.1328179483534768	0	0
a_ban_H09	ban	a	a	1.4418699780944735	0	0
I_peak_H09	peak	I	I	1.064115936984308	0	0
v_tut_H04	tut	v	v	1.044422887149267	0	0
v_cud_F06	cud	v	v	0.9286261009983718	0	0
A_barn_F08	barn	A	A	1.366114999866113	0	0
A_park_F09	park	A	A	0.7590349483070895	0	0
I_deed_H08	deed	I	I	1.3036540714092553	0	0
v_puck_H04	puck	v	v	1.254034111276269	0	0
v_bun_F09	bun	v	v	0.72355488804169	0	0
I_deed_F04	deed	I	I	1.412379933288321	0	0
v_bun_H09	bun	v	v	1.0971979706082493	0	0
A_card_F04	card	A	A	1.5658060209825635	0	0
a_cat_F05	cat	a	a	1.4081389531493187	0	0
a_pack_F09	pack	a	a	1.133576082647778	0	0
a_cat_H05	cat	a	a	0.7983438917435706	0	0
i_did_H08	did	i	i	1.8956159196095541	0	0
a_tat_H09	tat	a	a	1.1497350885765627	0	0

#TotalErreurs#0#TempsTotal#1min 24sec
