Wed Feb 24 21:51:03 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_ban_H09	ban	a	a	2.6409709290601313	0	0
i_pick_F06	pick	i	i	1.52874699246604	0	0
i_did_F09	did	i	i	0.8756740078097209	0	0
v_cut_H09	cut	v	v	1.2771250363439322	0	0
v_bun_F06	bun	v	v	1.1240291155409068	0	0
A_card_H04	card	A	A	1.474495929083787	0	0
a_cat_F06	cat	a	a	1.3181939717615023	0	0
A_tart_H06	tart	A	A	1.3175551008898765	0	0
v_bun_H08	bun	v	v	1.383635895443149	0	0
a_cad_H09	cad	a	a	1.2767760485876352	0	0
v_puck_F08	puck	v	v	0.9898808975704014	0	0
I_peak_F04	peak	I	I	1.5167269450612366	0	0
I_deed_H08	deed	I	I	0.9261211171979085	0	0
A_cart_F04	cart	A	A	2.0018119182204828	0	0
v_bun_H07	bun	v	v	1.6475079210940748	0	0
I_keep_H04	keep	I	I	1.5306871077045798	0	0
a_pack_F04	pack	a	a	3.1522940355353057	0	0
a_ban_F08	ban	a	a	0.9219928841339424	0	0
i_did_F07	did	i	i	2.023405968910083	0	0
i_tick_F09	tick	i	i	0.9028190687531605	0	0
i_pick_H04	pick	i	i	0.962248885887675	0	0
v_cud_F06	cud	v	v	1.3682129099033773	0	0
I_seek_H05	seek	I	I	1.7950559526216239	0	0
i_sick_F09	sick	i	i	1.471675984095782	0	0
A_card_F08	card	A	A	2.1882150410674512	0	0
i_tick_F07	tick	i	i	1.6704639953095466	0	0
A_barn_F04	barn	A	A	1.6861821092898026	0	0
A_card_F09	card	A	A	1.1523940354818478	0	0
v_bun_F08	bun	v	v	1.0973560177953914	0	0
a_ban_F05	ban	a	a	1.1448829618748277	0	0

#TotalErreurs#0#TempsTotal#1min 34sec
