#Wed Mar 10 09:06:45 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_seek_H04-I_seek_H05	1	1	1	1.475455935462378	0	0
I_keep_F07-i_kip_F09	2	2	1	1.1412659117486328	0	0
I_mean_H08-I_mean_H06	1	1	1	1.2419700247701257	0	0
I_bean_F07-i_bin_F08	2	2	1	1.0194609628524631	0	0
I_leak_H08-I_leak_H09	1	1	1	1.294683045009151	0	0
I_seek_F08-I_seek_F07	1	1	1	1.127116960240528	0	0
i_bik_H08-I_beak_H04	2	2	1	1.385601973393932	0	0
I_cheap_F09-i_cheap_F08	2	2	1	1.706436091219075	0	0
i_bin_F08-I_bean_F09	2	2	1	1.407996006659232	0	0
I_leak_F09-i_lick_F08	2	2	1	1.0080109827686101	0	0
I_teak_F05-i_tick_F04	2	2	1	1.3241079631261528	0	0
i_bin_F06-I_bean_F04	2	2	1	0.9644529242068529	0	0
i_did_H04-I_deed_H09	2	2	1	0.8201720117358491	0	0
i_did_F09-i_did_F04	1	1	1	1.0279770081397146	0	0
i_lick_F05-i_lick_F06	1	1	1	1.9181540246354416	0	0
i_pick_F06-I_peak_F07	2	2	1	0.9373908973066136	0	0
I_bean_H05-i_bin_H06	2	2	1	1.0227850285591558	0	0
I_leak_F08-I_leak_F09	1	1	1	1.9582400030922145	0	0
i_kip_F08-I_keep_F04	2	2	1	1.6264579300768673	0	0
I_mean_F09-i_min_F07	2	2	1	1.091941030579619	0	0
i_did_H07-i_did_H04	1	1	1	1.7696680271765217	0	0
i_bik_H06-I_beak_H07	2	2	1	1.0458310180110857	0	0
i_tick_H05-i_tick_H08	1	1	1	1.3655550491530448	0	0
i_lick_F04-I_leak_F07	2	2	1	1.4169960691360757	0	0
I_beak_H09-i_bik_H04	2	2	1	1.711104988353327	0	0
I_teak_H07-i_tick_H04	2	2	1	2.3641109883319587	0	0
I_leak_H09-i_lick_H08	2	2	1	1.2507400049362332	0	0
I_cheap_H04-I_chip_H05	1	1	1	1.564674926456064	0	0
I_teak_F07-i_tick_F04	2	2	1	1.1410030559636652	0	0
I_cheap_F05-i_cheap_F07	2	2	1	1.3709339939523488	0	0

#TotalErreurs#0#TempsTotal#2min 11sec
