#Sat Mar 20 17:46:00 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_deed_F04	deed	I	1.961688756942749	0	0
i_bik_H08	bik	i	1.1813108921051025	0	0
i_sick_F09	sick	i	1.172652006149292	0	0
I_teak_H07	teak	I	1.0896377563476562	1	0
i_bin_F05	bin	i	1.170548439025879	0	0
i_did_F05	did	i	0.4373970031738281	1	0
i_lick_F07	lick	i	1.0007998943328857	0	0
I_beak_H08	beak	I	1.5496132373809814	1	0
I_seek_H04	seek	I	1.5181918144226074	0	0
I_peak_H05	peak	I	1.5710508823394775	0	0
i_sick_F07	sick	i	1.1223230361938477	0	0
i_lick_F05	lick	i	0.9716320037841797	0	0
I_deed_H09	deed	I	1.1967082023620605	0	0
I_keep_F06	keep	I	2.059662103652954	0	0
I_mean_H05	mean	I	1.6735548973083496	0	0
i_chip_F06	chip	i	1.1649432182312012	0	0
i_did_H07	did	i	1.2129321098327637	0	0
I_keep_H09	keep	I	1.3900420665740967	1	0
i_kip_F09	kip	i	1.2699558734893799	0	0
I_mean_H07	mean	I	2.190335988998413	0	0
i_sick_F06	sick	i	1.2709739208221436	0	0
I_cheap_H06	cheap	I	1.8432581424713135	0	0
i_did_F04	did	i	0.9386711120605469	0	0
I_beak_H06	beak	I	1.3288297653198242	0	0
i_tick_H08	tick	i	1.1325359344482422	0	0
i_bik_H05	bik	i	0.9330639839172363	0	0
I_bean_F09	bean	I	1.0283288955688477	0	0
I_keep_F09	keep	I	1.7849171161651611	0	0
I_cheap_F09	cheap	I	1.1182279586791992	0	0
i_chip_H06	chip	i	1.3058228492736816	0	0

#TotalErreurs#4TempsTotal#1min 39sec
