Tue May 04 19:33:55 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_mean_F08	mean	I	I	3.4547011852264404	0	0
A_lark_H07	lark	A	A	2.042109966278076	0	0
A_carp_F06	carp	A	A	1.335893154144287	0	0
a_lack_F09	lack	a	A	0.7921731472015381	1	0
i_bin_F05	bin	i	i	1.8171350955963135	0	0
v_luck_F08	luck	v	v	1.161025047302246	0	0
i_lick_F07	lick	i	i	1.6182310581207275	0	0
A_bark_H09	bark	A	v	0.8469688892364502	1	0
I_leak_F05	leak	I	I	1.2932171821594238	0	0
a_back_F08	back	a	a	2.323875904083252	0	0
A_lark_F05	lark	A	A	1.3442981243133545	0	0
a_back_F07	back	a	a	2.5451059341430664	0	0
v_putt_H08	putt	v	v	1.2896158695220947	0	0
i_lick_H04	lick	i	i	1.2221288681030273	0	0
a_pat_H05	pat	a	a	1.4042911529541016	0	0
i_lick_F05	lick	i	i	1.0329360961914062	0	0
I_mean_H09	mean	I	I	1.5115220546722412	0	0
a_back_H04	back	a	a	1.3291480541229248	0	0
A_mart_H05	mart	A	a	0.6564359664916992	2	0
I_cheap_H05	cheap	I	i	0.754417896270752	1	0
I_leak_H08	leak	I	i	0.7767870426177979	1	0
a_mat_H08	mat	a	a	1.3989949226379395	0	0
I_leak_F09	leak	I	I	1.3272130489349365	0	0
a_cap_F05	cap	a	a	1.8629169464111328	0	0
i_chip_F05	chip	i	i	2.0508809089660645	0	0
a_mat_F08	mat	a	a	1.8726799488067627	0	0
A_mart_H07	mart	A	A	1.313561201095581	0	0
a_mat_H09	mat	a	a	1.3079378604888916	0	0
i_bik_F04	bik	i	i	1.3908510208129883	0	0
I_cheap_F09	cheap	I	I	1.6019608974456787	0	0

#TotalErreurs#6#TempsTotal#1min 51sec
