Sat Mar 20 17:50:12 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
v_tut_F04	tut	v	a	1.1705150604248047	1	0
A_cart_F07	cart	A	A	1.3811438083648682	0	0
v_bun_F07	bun	v	v	1.8046998977661133	0	0
v_tut_H07	tut	v	a	0.4693572521209717	2	0
A_cart_F08	cart	A	A	1.3019590377807617	0	0
i_sick_H04	sick	i	I	0.4472501277923584	1	0
A_card_H05	card	A	a	0.7240750789642334	1	0
I_deed_F09	deed	I	I	1.9854211807250977	0	0
a_tat_F04	tat	a	a	2.0703938007354736	0	0
a_cad_H08	cad	a	A	1.0507400035858154	2	0
a_tat_F07	tat	a	a	1.3480277061462402	0	0
i_tick_F09	tick	i	i	1.8975627422332764	0	0
a_cad_H07	cad	a	a	3.780627965927124	0	0
I_peak_H06	peak	I	I	2.550462007522583	0	0
i_did_H04	did	i	i	2.0129218101501465	0	0
a_ban_H08	ban	a	A	0.82806396484375	2	0
a_cad_F04	cad	a	A	1.0406053066253662	1	0
I_seek_F08	seek	I	i	0.8146910667419434	1	0
A_card_H04	card	A	A	1.3477230072021484	0	0
A_card_H09	card	A	A	1.201801061630249	0	0
I_seek_F06	seek	I	I	1.4546949863433838	0	0
I_keep_F07	keep	I	I	2.098816156387329	0	0
i_pick_H08	pick	i	i	1.3613560199737549	0	0
v_tut_H08	tut	v	v	1.3705127239227295	0	0
A_tart_H04	tart	A	a	0.44810986518859863	1	0
A_tart_F05	tart	A	A	1.1642632484436035	0	0
A_cart_H05	cart	A	v	0.6882622241973877	2	0
i_sick_H05	sick	i	i	1.6162147521972656	0	0
a_cad_F07	cad	a	A	0.5669429302215576	2	0
a_cat_F07	cat	a	a	0.8426711559295654	0	0

#TotalErreurs#16#TempsTotal#2min 25sec
