#Wed Mar 31 23:21:49 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_pack_F08-a_pack_F09	1	1	1	0.5751712322235107	0	0
a_ban_H09-v_bun_H05	2	2	1	0.36728596687316895	0	0
a_pat_F04-a_pat_F09	1	1	1	0.24883508682250977	0	0
v_putt_H06-a_pat_H07	2	2	1	0.4297969341278076	0	0
v_cut_H09-v_cut_H04	1	2	0	0.2730262279510498	1	0
a_back_H09-v_buck_H07	2	2	1	0.2217710018157959	0	0
v_mutt_F05-v_mutt_F04	1	2	0	0.2260880470275879	1	0
a_ban_H06-a_ban_H08	1	1	1	0.5768260955810547	0	0
a_mat_H06-a_mat_H05	1	1	1	0.30696916580200195	0	0
v_cup_H06-a_cap_H05	2	2	1	0.7343320846557617	0	0
a_lack_H04-a_lack_H09	1	2	0	0.5878567695617676	1	0
a_tat_F04-a_tat_F08	1	1	1	0.6913020610809326	0	0
a_mat_H08-a_mat_H07	1	2	0	0.33453917503356934	1	0
a_pat_F05-v_putt_F06	2	2	1	0.5643880367279053	0	0
a_cad_F07-v_cud_F09	2	1	0	0.3244359493255615	1	0
a_tat_F05-v_tut_F04	2	1	0	0.2800328731536865	1	0
v_putt_H04-a_pat_H06	2	1	0	1.041172981262207	1	0
a_mat_F09-v_mutt_F05	2	2	1	0.4656350612640381	0	0
v_cup_F05-v_cup_F08	1	1	1	0.794586181640625	0	0
v_luck_H07-v_luck_H09	1	2	0	0.2701399326324463	1	0
a_back_H08-a_back_H06	1	1	1	1.1737580299377441	0	0
v_cud_H07-v_cud_H08	1	1	1	0.2593519687652588	0	0
v_cud_H05-v_cud_H04	1	1	1	0.5533740520477295	0	0
v_putt_H09-v_putt_H08	1	1	1	0.5522739887237549	0	0
a_pat_H05-v_putt_H06	2	1	0	1.0799930095672607	1	0
v_puck_H05-v_puck_H06	1	1	1	0.5220861434936523	0	0
v_putt_F07-v_putt_F09	1	1	1	0.25237488746643066	0	0
a_cad_H09-v_cud_H06	2	2	1	0.8903648853302002	0	0
a_back_F09-v_buck_F07	2	2	1	0.08545613288879395	0	0
a_cad_H04-a_cad_H08	1	1	1	0.3257148265838623	0	0

#TotalErreurs#9#TempsTotal#2min 12sec
