#Sat Feb 20 20:27:55 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_ban_H05-v_bun_H06	2	2	1	1.169875144958496	0	2
a_back_H04-a_back_H09	1	1	1	3.4027819633483887	0	1
a_pat_F05-v_putt_F06	2	1	0	1.313981056213379	1	1
v_mutt_H09-v_mutt_H06	1	2	0	0.6054351329803467	1	4
a_tat_H05-v_tut_H04	2	1	0	0.7049398422241211	1	1
a_ban_H06-a_ban_H08	1	1	1	0.6397609710693359	0	1
v_tut_H06-a_tat_H09	2	2	1	3.1240289211273193	0	0
v_puck_F05-v_puck_F06	1	1	1	1.0237669944763184	0	0
v_mutt_H06-a_mat_H05	2	1	0	0.7595503330230713	1	0
v_puck_H06-a_pack_H08	2	1	0	0.6076297760009766	1	1
a_cap_H04-a_cap_H05	1	1	1	1.155296802520752	0	0
a_cad_H05-v_cud_H04	2	2	1	0.17588186264038086	0	3
v_cud_H09-v_cud_H06	1	1	1	0.5061378479003906	0	1
v_luck_H07-v_luck_H09	1	1	1	0.9086909294128418	0	1
v_bun_F06-a_ban_F07	2	1	0	0.43435215950012207	1	0
a_back_H08-a_back_H06	1	1	1	0.7718379497528076	0	0
a_pack_H08-a_pack_H09	1	2	0	0.5651416778564453	1	0
v_putt_F04-a_pat_F06	2	1	0	0.3522319793701172	1	3
a_cap_H08-a_cap_H07	1	1	1	1.1786420345306396	0	0
v_cud_H05-v_cud_H04	1	1	1	1.2998380661010742	0	0
v_bun_H08-a_ban_H06	2	2	1	2.145509958267212	0	0
v_tut_F08-a_tat_F05	2	2	1	0.6066532135009766	0	1
a_mat_F07-v_mutt_F09	2	2	1	0.24084115028381348	0	1
a_cap_H07-v_cup_H06	2	2	1	1.4910919666290283	0	0
v_bun_F08-a_ban_F06	2	2	1	0.9487519264221191	0	1
a_cat_F07-v_cut_F05	2	2	1	0.9757561683654785	0	1
a_pack_F07-v_puck_F04	2	1	0	0.14349603652954102	1	2
v_cut_F06-a_cat_F09	2	2	1	0.5017828941345215	0	0
a_tat_F07-v_tut_F04	2	2	1	0.5306980609893799	0	1
v_puck_H04-a_pack_H07	2	1	0	0.17049193382263184	1	3

#TotalErreurs#10#TempsTotal#5min 42sec
