#Wed Jan 27 18:37:34 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_puck_F04	puck	v	3.6406197547912598	0	3
v_cup_F04	cup	v	2.298017978668213	0	0
a_lack_H07	lack	a	0.34823012351989746	1	1
v_puck_F08	puck	v	1.706171989440918	0	1
v_putt_F04	putt	v	3.350724935531616	1	2
a_cad_F05	cad	a	1.9857149124145508	0	1
a_pat_F05	pat	a	1.7380101680755615	0	0
v_putt_H07	putt	v	4.397711277008057	0	4
a_pat_F09	pat	a	1.5097148418426514	0	0
a_pack_F04	pack	a	1.96697998046875	0	0
v_puck_F05	puck	v	2.0108890533447266	0	0
v_cup_F09	cup	v	1.6055586338043213	0	0
a_cat_F05	cat	a	1.7002019882202148	0	0
v_putt_F05	putt	v	2.2733190059661865	0	0
v_cut_H09	cut	v	2.297739028930664	0	0
a_mat_H09	mat	a	1.6703300476074219	0	1
a_back_H07	back	a	2.561042308807373	0	0
a_ban_H04	ban	a	2.1270499229431152	0	1
a_lack_F05	lack	a	2.1645302772521973	0	0
v_puck_H05	puck	v	2.0842020511627197	0	0
a_pack_H05	pack	a	2.1934468746185303	0	7
a_lack_F08	lack	a	2.041886806488037	0	0
a_pat_H05	pat	a	1.8469147682189941	0	0
v_bun_H06	bun	v	1.9554827213287354	0	0
v_luck_F08	luck	v	1.8908438682556152	0	0
v_bun_F05	bun	v	1.4994418621063232	0	2
v_mutt_H08	mutt	v	3.3023009300231934	0	1
v_cup_H09	cup	v	1.8306541442871094	0	0
a_pack_H04	pack	a	1.844310998916626	0	0
a_mat_H08	mat	a	2.0528969764709473	0	0

#TotalErreurs#2TempsTotal#8min 57sec
