#Thu May 06 11:57:26 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_leak_F06	leak	I	0.9604201316833496	0	1
i_tick_F07	tick	i	2.5803110599517822	0	0
i_chip_F08	chip	i	1.8496067523956299	0	0
I_peak_F08	peak	I	1.8695471286773682	0	0
i_sick_H08	sick	i	1.635995864868164	0	0
I_mean_F05	mean	I	1.211167812347412	0	0
I_mean_H09	mean	I	1.2476747035980225	0	0
I_leak_F04	leak	I	1.3026223182678223	0	0
I_keep_H07	keep	I	1.6667420864105225	0	0
I_keep_H05	keep	I	0.8778400421142578	0	1
I_mean_H08	mean	I	5.510769844055176	0	0
I_peak_H08	peak	I	3.0733301639556885	0	0
I_peak_H09	peak	I	1.9814519882202148	0	0
i_lick_H07	lick	i	1.8889122009277344	0	0
i_chip_H05	chip	i	1.0682871341705322	0	0
I_teak_F07	teak	I	4.526631116867065	0	0
I_cheap_F05	cheap	I	2.4404079914093018	0	0
i_did_F05	did	i	2.159680128097534	0	0
i_sick_F05	sick	i	1.5323901176452637	0	0
i_kip_H09	kip	i	1.1660661697387695	0	1
i_chip_H04	chip	i	0.7545149326324463	1	0
i_tick_F05	tick	i	2.538846254348755	0	0
i_bin_H04	bin	i	1.5353748798370361	0	0
I_deed_H05	deed	I	1.3291938304901123	0	0
i_kip_F04	kip	i	1.7383358478546143	0	0
I_deed_H09	deed	I	1.0958642959594727	0	0
I_cheap_F09	cheap	I	3.9095659255981445	0	0
i_lick_F07	lick	i	0.7630610466003418	0	1
I_cheap_F07	cheap	I	1.3264329433441162	0	0
I_seek_H06	seek	I	0.9978780746459961	0	0

#TotalErreurs#1TempsTotal#2min 55sec
