#Thu Jan 28 22:11:23 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cut_H06-a_cat_H09	2	2	1	2.181490898132324	0	0
v_putt_F05-v_putt_F06	1	1	1	1.164858102798462	0	0
v_bun_H07-v_bun_H06	1	1	1	1.442716121673584	0	0
v_cud_F05-v_cud_F04	1	1	1	1.5114948749542236	0	0
v_puck_F05-v_puck_F06	1	1	1	0.642009973526001	0	1
v_bun_H08-a_ban_H06	2	2	1	1.2514169216156006	0	0
v_puck_H08-a_pack_H07	2	2	1	5.329500913619995	0	1
v_cut_H09-v_cut_H04	1	1	1	0.7270112037658691	0	1
a_back_F08-a_back_F06	1	1	1	0.07697606086730957	0	1
v_buck_H08-a_back_H07	2	2	1	1.2648777961730957	0	0
a_pat_H04-a_pat_H09	1	1	1	1.408552885055542	0	0
v_tut_F04-a_tat_F07	2	2	1	4.410353899002075	0	0
a_mat_F07-v_mutt_F09	2	2	1	1.3566746711730957	0	0
a_pat_H08-a_pat_H09	1	2	0	0.35228991508483887	1	1
a_cat_H08-a_cat_H05	1	1	1	1.1579771041870117	0	0
a_pack_F06-a_pack_F05	1	1	1	1.8420188426971436	0	0
a_ban_F05-v_bun_F06	2	2	1	1.0879337787628174	0	0
v_tut_H07-v_tut_H06	1	1	1	1.3426361083984375	0	0
v_cud_F08-a_cad_F04	2	2	1	1.443270206451416	0	0
a_pat_F07-v_putt_F04	2	2	1	1.7129850387573242	0	0
v_luck_F06-a_lack_F04	2	2	1	1.1570398807525635	0	0
a_mat_H05-v_mutt_H07	2	1	0	0.45998120307922363	1	0
v_cup_H07-v_cup_H04	1	1	1	2.9302420616149902	0	0
a_cap_H09-v_cup_H08	2	2	1	0.6992108821868896	0	0
a_tat_H09-v_tut_H05	2	1	0	1.070910930633545	1	0
v_buck_H07-v_buck_H08	1	1	1	0.9404499530792236	0	0
v_putt_F06-a_pat_F07	2	2	1	2.4712672233581543	0	0
v_luck_F08-a_lack_F09	2	2	1	0.8553829193115234	0	0
v_cut_F04-a_cat_F09	2	2	1	2.372175931930542	0	0
a_ban_H05-v_bun_H06	2	2	1	1.196608066558838	0	0

#TotalErreurs#3#TempsTotal#2min 35sec
