#00#Mon Feb 22 14:30:21 2021#ListeOddity_2.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
I_peak_F05-I_peak_F07-i_pick_F09	i	3	3	1	0.09491212479770184	0	0
v_cud_F09-A_card_F08-v_cud_F05	A	2	1	0	0.03517641592770815	2	0
v_puck_F05-a_lack_F06-v_puck_F07	a	2	2	1	0.6137929586693645	0	0
v_bun_F04-a_ban_F05-a_ban_F06	v	1	1	1	0.034841458313167095	0	0
A_tart_F08-v_tut_F04-A_tart_F05	v	2	2	1	0.1737519595772028	0	0
i_tick_F08-i_tick_F05-I_teak_F04	I	3	3	1	0.2826647078618407	0	0
v_cud_H07-a_cad_H08-v_cud_H04	a	2	2	1	0.07355529256165028	0	0
A_card_H05-v_cud_H06-A_card_H07	v	2	2	1	0.03805591631680727	0	1
v_bun_H08-A_barn_H09-v_bun_H05	A	2	3	0	0.0409387918189168	2	0
A_barn_F09-v_bun_F04-v_bun_F05	A	1	2	0	0.02892712503671646	2	0
v_tut_F05-v_tut_F07-A_tart_F08	A	3	1	0	0.037609999999403954	2	2
i_kip_H07-I_keep_H04-I_keep_H05	i	1	2	0	0.07999208383262157	2	0
A_cart_F09-A_cart_F04-v_cut_F09	v	3	2	0	0.5503826653584838	2	0
i_pick_F07-I_peak_F09-I_peak_F04	i	1	1	1	0.04721774999052286	0	0
I_peak_F04-i_pick_F09-I_peak_F06	i	2	2	1	0.03838574979454279	0	1
v_tut_F05-A_tart_F08-A_tart_F06	v	1	1	1	0.2287088753655553	0	0
I_keep_F06-i_kip_F07-I_keep_F05	i	2	2	1	0.035932750441133976	0	0
A_park_F07-v_puck_F09-v_puck_F05	A	1	1	1	0.5221741246059537	0	0
v_cud_H06-a_cad_H07-a_cad_H04	v	1	1	1	0.13940174970775843	0	0
v_cud_F07-a_cad_F08-v_cud_F04	a	2	1	0	0.04040841665118933	2	1
i_did_H08-i_did_H09-I_deed_H07	I	3	2	0	0.046962250024080276	2	2
i_did_H09-I_deed_H06-i_did_H08	I	2	2	1	0.03407545853406191	0	1
v_bun_H09-v_bun_H04-A_barn_H08	A	3	2	0	0.03945583291351795	3	2
i_sick_H08-i_sick_H09-I_seek_H06	I	3	3	1	0.035903542302548885	0	0
a_cad_F08-v_cud_F05-a_cad_F07	v	2	2	1	0.9485470000654459	0	0
v_puck_F05-a_lack_F04-a_lack_F08	v	1	1	1	0.1796577088534832	0	0
i_kip_F07-I_keep_F04-i_kip_F06	I	2	2	1	0.03668887447565794	0	0
a_ban_H06-v_bun_H04-a_ban_H08	v	2	3	0	0.034437875263392925	2	2
A_tart_F06-A_tart_F09-v_tut_F07	v	3	3	1	0.14230825006961823	0	1
A_barn_F07-v_bun_F06-A_barn_F05	v	2	2	1	0.039902458898723125	0	0

#TotalErreurs#21TempsTotal#3min 55sec
#00#Fri May  7 16:00:46 2021#ListeOddity_2.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
v_puck_H04-v_puck_H09-a_lack_H06	a	3	3	1	0.03490904159843922	0	3
i_did_H08-i_did_H09-I_deed_H07	I	3	3	1	0.26292220782488585	0	0
a_lack_H05-v_puck_H09-a_lack_H06	v	2	2	1	0.03812341671437025	0	1
v_cut_H06-a_cat_H07-v_cut_H08	a	2	2	1	0.04011366702616215	0	0
v_puck_F04-v_puck_F09-a_lack_F06	a	3	3	1	0.13980429153889418	0	0
v_cut_H08-a_cat_H07-a_cat_H04	v	1	1	1	0.24869033321738243	0	0
I_keep_H06-i_kip_H07-I_keep_H05	i	2	2	1	0.6114814579486847	0	0
I_keep_F05-i_kip_F04-i_kip_F08	I	1	1	1	0.30057779140770435	0	0
i_sick_H04-I_seek_H05-i_sick_H09	I	2	2	1	0.03895712550729513	0	0
A_tart_F07-v_tut_F05-v_tut_F09	A	1	1	1	0.8521014582365751	0	0
A_cart_F06-v_cut_F04-A_cart_F09	v	2	2	1	0.1840618746355176	0	0
v_tut_H08-a_tat_H09-a_tat_H04	v	1	1	1	0.14444716554135084	0	0
a_cat_H05-v_cut_H08-v_cut_H07	a	1	1	1	0.04458558280020952	0	0
v_cud_F07-v_cud_F08-A_card_F09	A	3	3	1	0.10024549998342991	0	0
I_keep_F06-i_kip_F07-I_keep_F05	i	2	2	1	0.31387925054877996	0	0
v_bun_F09-a_ban_F05-v_bun_F07	a	2	2	1	0.04358054045587778	0	0
A_tart_F06-A_tart_F09-v_tut_F07	v	3	3	1	0.27126129250973463	0	1
v_tut_F05-a_tat_F08-v_tut_F06	a	2	3	0	0.03747554123401642	2	1
A_tart_H07-v_tut_H05-v_tut_H09	A	1	1	1	0.8517009168863297	0	1
v_cut_H05-A_cart_H09-v_cut_H04	A	2	2	1	0.2207092083990574	0	1
v_bun_F08-A_barn_F09-v_bun_F05	A	2	2	1	0.37798237428069115	0	0
I_seek_H08-I_seek_H07-i_sick_H05	i	3	3	1	0.919422167353332	0	0
i_kip_F07-I_keep_F04-I_keep_F05	i	1	1	1	0.5694024581462145	0	0
I_peak_H04-i_pick_H07-i_pick_H05	I	1	1	1	0.44369570817798376	0	0
A_card_F05-v_cud_F06-A_card_F07	v	2	2	1	0.17128658387809992	0	0
v_puck_F09-A_park_F05-v_puck_F07	A	2	2	1	0.5968829169869423	0	0
v_cud_H07-v_cud_H08-A_card_H09	A	3	3	1	0.08729129284620285	0	0
I_deed_F06-i_did_F09-i_did_F07	I	1	1	1	0.30944712553173304	0	0
I_seek_F09-i_sick_F08-i_sick_F06	I	1	1	1	0.11127249989658594	0	0
v_bun_F04-a_ban_F05-a_ban_F06	v	1	1	1	0.1961790407076478	0	0

#TotalErreurs#2TempsTotal#2min 53sec
